sampleID,extinc,date,Site,LUtype,Chamber,DateField,DateLab1,DateLab2Inc,DateIncGuess,IncBlank,ExtractionSoilWeight,ExtractantVol,SoilWetWeight_DarroMinusBaggie,SoilDryWeight_TownMinusPapBag,CENAnitrppm,CENAammppm,CENAnitrppmBnks,CENAammppmBnks,CENAnitrppmBnkCor,CENAammppmBnkCor,MBLnitrppm,MBLammppm,NotesN,DiscardN
incub M3D_18022014,inc,2/18/14,M3,M,D,2/18/14,2/18/14,2/25/14,Y,2/25/14,9.78,50,NA,NA,1.1393,0.4518293,NA,NA,1.1923,0.41510765,,,,
incub M3E_18022014,inc,2/18/14,M3,M,E,2/18/14,2/18/14,2/25/14,Y,2/25/14,10.4,50,NA,NA,1.7948,0.4510256,NA,NA,1.8478,0.41430395,,,,
ext bnk 20022014,bnk,2/20/14,NA,NA,NA,NA,2/20/14,NA,NA,NA,NA,50,NA,NA,0.0064,0.0272853,NA,NA,NA,NA,,,,
ext bnk 20022014,bnk,2/20/14,NA,NA,NA,NA,2/20/14,NA,NA,NA,NA,50,NA,NA,-0.0023,0.0244946,NA,NA,NA,NA,,,,
ext bnk 20022014,bnk,2/20/14,NA,NA,NA,NA,2/20/14,NA,NA,NA,NA,50,NA,NA,-0.011,0.0223919,NA,NA,NA,NA,,,,
extr F2A_20022014,ext,2/20/14,F2,F,A,2/20/14,2/20/14,NA,NA,NA,10.04,50,156.6,104.79,0.04555,0.2053526,0.0064,0.0272853,0.04785,0.180628667,,,,
extr F2B_20022014,ext,2/20/14,F2,F,B,2/20/14,2/20/14,NA,NA,NA,9.86,50,138.06,99.29,0.0064,0.3590518,-0.0023,0.0244946,0.0087,0.334327867,,,,
extr F2C_20022014,ext,2/20/14,F2,F,C,2/20/14,2/20/14,NA,NA,NA,10.26,50,163.65,139.59,0.01075,0.2446417,-0.011,0.0223919,0.01305,0.219917767,,,,
extr F2D_20022014,ext,2/20/14,F2,F,D,2/20/14,2/20/14,NA,NA,NA,10.04,50,178.85,112.19,0.0064,0.212955,NA,NA,0.0087,0.188231067,,,,
extr F2E_20022014,ext,2/20/14,F2,F,E,2/20/14,2/20/14,NA,NA,NA,10.11,50,141.27,98.29,0.1108,0.6085894,NA,NA,0.1131,0.583865467,,,,
extr S3A_20022014,ext,2/20/14,S3,S,A,2/20/14,2/20/14,NA,NA,NA,9.71,50,135.68,122.29,0.0872,0.2873923,0.0064,0.0272853,0.0895,0.262668367,,,,
extr S3B_20022014,ext,2/20/14,S3,S,B,2/20/14,2/20/14,NA,NA,NA,10.26,50,156,92.19,0.1821,0.3657082,-0.0023,0.0244946,0.1844,0.340984267,,,,
extr S3C_20022014,ext,2/20/14,S3,S,C,2/20/14,2/20/14,NA,NA,NA,10.23,50,126.82,113.29,0.2405,0.4739908,-0.011,0.0223919,0.2428,0.449266867,,,,
extr S3D_20022014,ext,2/20/14,S3,S,D,2/20/14,2/20/14,NA,NA,NA,9.74,50,121.48,118.89,0.4675,0.3344042,NA,NA,0.4698,0.309680267,,,,
extr S3E_20022014,ext,2/20/14,S3,S,E,2/20/14,2/20/14,NA,NA,NA,9.93,50,113.47,123.69,0.426871,0.3097007,NA,NA,0.429171,0.284976767,,,,
incub F2A_20022014,inc,2/20/14,F2,F,A,2/20/14,2/20/14,2/28/14,N,2/28/14,9.74,50,NA,NA,0.911,0.4035086,-0.469,0.115174,1.313416667,0.2899934,,,,
incub F2B_20022014,inc,2/20/14,F2,F,B,2/20/14,2/20/14,2/28/14,N,2/28/14,9.78,50,NA,NA,1.205,0.4079313,-0.26925,0.1123052,1.607416667,0.2944161,,,,
incub F2C_20022014,inc,2/20/14,F2,F,C,2/20/14,2/20/14,2/28/14,N,2/28/14,10.33,50,NA,NA,1.289,0.4119216,-0.469,0.1130664,1.691416667,0.2984064,,,,
incub F2D_20022014,inc,2/20/14,F2,F,D,2/20/14,2/20/14,2/28/14,N,2/28/14,10.26,50,NA,NA,0.911,0.4477826,NA,NA,1.313416667,0.3342674,,,,
incub F2E_20022014,inc,2/20/14,F2,F,E,2/20/14,2/20/14,2/28/14,N,2/28/14,10.16,50,NA,NA,1.919,0.4841465,NA,NA,2.321416667,0.3706313,,,,
incub S3A_20022014,inc,2/20/14,S3,S,A,2/20/14,2/20/14,2/28/14,N,2/28/14,10.33,50,NA,NA,1.4015,0.4266326,-0.469,0.115174,1.803916667,0.3131174,,,,
incub S3B_20022014,inc,2/20/14,S3,S,B,2/20/14,2/20/14,2/28/14,N,2/28/14,10.12,50,NA,NA,1.62,0.6192856,-0.26925,0.1123052,2.022416667,0.5057704,,,,
incub S3C_20022014,inc,2/20/14,S3,S,C,2/20/14,2/20/14,2/28/14,N,2/28/14,10.39,50,NA,NA,1.8385,0.6323046,-0.469,0.1130664,2.240916667,0.5187894,,,,
incub S3D_20022014,inc,2/20/14,S3,S,D,2/20/14,2/20/14,2/28/14,N,2/28/14,10.34,50,NA,NA,1.3141,0.4869806,NA,NA,1.716516667,0.3734654,,,,
incub S3E_20022014,inc,2/20/14,S3,S,E,2/20/14,2/20/14,2/28/14,N,2/28/14,10,50,NA,NA,1.457,0.4981854,NA,NA,1.859416667,0.3846702,,,,
bnk I 22-02-14,bnk,2/22/14,NA,NA,NA,NA,2/22/14,NA,NA,NA,NA,50,NA,NA,-0.469,0.0772416,NA,NA,NA,NA,,,PROBLEM - not used anywhere,Y
bnk II 22-02-14,bnk,2/22/14,NA,NA,NA,NA,2/22/14,NA,NA,NA,NA,50,NA,NA,-0.469,0.1057624,NA,NA,NA,NA,,,PROBLEM - not used anywhere,Y
ext bnk 24022014,bnk,2/24/14,NA,NA,NA,NA,2/24/14,NA,NA,NA,NA,50,NA,NA,-0.0197,0.0290225,NA,NA,NA,NA,,,,
ext bnk 24022014,bnk,2/24/14,NA,NA,NA,NA,2/24/14,NA,NA,NA,NA,50,NA,NA,-0.0197,0.0295385,NA,NA,NA,NA,,,,
ext bnk 24022014,bnk,2/24/14,NA,NA,NA,NA,2/24/14,NA,NA,NA,NA,50,NA,NA,0.1543,0.0193303,NA,NA,NA,NA,,,,
extr S3A_24022014,ext,2/24/14,S3,S,A,2/24/14,2/24/14,NA,NA,NA,9.73,50,150.65,109.09,0.1108,0.3308782,-0.0197,0.0290225,0.0725,0.304914433,,,,
extr S3B_24022014,ext,2/24/14,S3,S,B,2/24/14,2/24/14,NA,NA,NA,9.77,50,156.38,113.39,0.39355,0.3671573,-0.0197,0.0295385,0.35525,0.341193533,,,,
extr S3C_24022014,ext,2/24/14,S3,S,C,2/24/14,2/24/14,NA,NA,NA,10.47,50,131.96,97.59,0.25435,0.2693882,0.1543,0.0193303,0.21605,0.243424433,,,,
extr S3D_24022014,ext,2/24/14,S3,S,D,2/24/14,2/24/14,NA,NA,NA,10.19,50,178.81,130.49,0.163,0.3170365,NA,NA,0.1247,0.291072733,,,,
extr S3E_24022014,ext,2/24/14,S3,S,E,2/24/14,2/24/14,NA,NA,NA,9.9,50,146.7,105.09,0.122371,0.3655147,NA,NA,0.084071,0.339550933,,,,
incub S3A_24022014,inc,2/24/14,S3,S,A,2/24/14,2/24/14,3/5/14,Y,3/5/14,10.01,50,NA,NA,1.415,0.371464,-0.469,0.1158428,1.884,0.2543815,,,,
incub S3B_24022014,inc,2/24/14,S3,S,B,2/24/14,2/24/14,3/5/14,Y,3/5/14,9.87,50,NA,NA,1.079,0.3837216,-0.469,0.1112668,1.548,0.2666391,,,,
incub S3C_24022014,inc,2/24/14,S3,S,C,2/24/14,2/24/14,3/5/14,Y,3/5/14,9.64,50,NA,NA,0.743,0.7505566,-0.469,0.1254524,1.212,0.6334741,,,,
incub S3D_24022014,inc,2/24/14,S3,S,D,2/24/14,2/24/14,3/5/14,Y,3/5/14,9.84,50,NA,NA,NA,0.305476,-0.469,0.115768,NA,0.1883935,,,,
incub S3E_24022014,inc,2/24/14,S3,S,E,2/24/14,2/24/14,3/5/14,Y,3/5/14,10.47,50,NA,NA,0.743,0.3583933,NA,NA,1.212,0.2413108,,,,
ext bnk 25022014,bnk,2/25/14,NA,NA,NA,NA,2/25/14,NA,NA,NA,NA,50,NA,NA,-0.0469,0.0383191,NA,NA,NA,NA,,,,
ext bnk 25022014,bnk,2/25/14,NA,NA,NA,NA,2/25/14,NA,NA,NA,NA,50,NA,NA,-0.0591,0.0351242,NA,NA,NA,NA,,,,
extr F2A_25022014,ext,2/25/14,F2,F,A,2/25/14,2/25/14,NA,NA,NA,10.43,50,164.18,127.59,0.0019,0.2959751,-0.0469,0.0383191,0.0549,0.25925345,,,,
extr F2B_25022014,ext,2/25/14,F2,F,B,2/25/14,2/25/14,NA,NA,NA,9.8,50,159.65,124.29,0.008,0.3029669,-0.0591,0.0351242,0.061,0.26624525,,,,
extr F2C_25022014,ext,2/25/14,F2,F,C,2/25/14,2/25/14,NA,NA,NA,9.83,50,157.08,114.99,-0.0103,0.1901822,NA,NA,0.0427,0.15346055,,,,
extr F2D_25022014,ext,2/25/14,F2,F,D,2/25/14,2/25/14,NA,NA,NA,10.41,50,154.33,117.29,0.0873,0.2073134,NA,NA,0.1403,0.17059175,,,,
extr F2E_25022014,ext,2/25/14,F2,F,E,2/25/14,2/25/14,NA,NA,NA,9.61,50,157.39,112.59,-0.0103,0.1625547,NA,NA,0.0427,0.12583305,,,,
extr M3A_25022014,ext,2/25/14,M3,M,A,2/25/14,2/25/14,NA,NA,NA,10.21,50,140.37,115.59,0.1543,0.3666413,-0.0469,0.0383191,0.2073,0.32991965,,,,
extr M3B_25022014,ext,2/25/14,M3,M,B,2/25/14,2/25/14,NA,NA,NA,9.83,50,176.16,145.09,0.12385,0.2720413,-0.0591,0.0351242,0.17685,0.23531965,,,,
extr M3C_25022014,ext,2/25/14,M3,M,C,2/25/14,2/25/14,NA,NA,NA,10.33,50,152.77,122.99,0.2761,0.4473824,NA,NA,0.3291,0.41066075,,,,
extr M3D_25022014,ext,2/25/14,M3,M,D,2/25/14,2/25/14,NA,NA,NA,9.75,50,173.74,142.89,0.3069,0.3375905,NA,NA,0.3599,0.30086885,,,,
extr M3E_25022014,ext,2/25/14,M3,M,E,2/25/14,2/25/14,NA,NA,NA,10.15,50,187.41,156.99,0.013675,0.27702,NA,NA,0.066675,0.24029835,,,,
incub F2A_25022014,inc,2/25/14,F2,F,A,2/25/14,2/25/14,3/5/14,Y,3/5/14,10.24,50,NA,NA,1.163,0.2727076,-0.469,0.1158428,1.632,0.1556251,,,,
incub F2B_25022014,inc,2/25/14,F2,F,B,2/25/14,2/25/14,3/5/14,Y,3/5/14,9.99,50,NA,NA,0.911,0.3278057,-0.469,0.1112668,1.38,0.2107232,,,,
incub F2C_25022014,inc,2/25/14,F2,F,C,2/25/14,2/25/14,3/5/14,Y,3/5/14,10.17,50,NA,NA,0.6601,0.22556295,-0.469,0.1254524,1.1291,0.10848045,,,,
incub F2D_25022014,inc,2/25/14,F2,F,D,2/25/14,2/25/14,3/5/14,Y,3/5/14,10.42,50,NA,NA,1.2537,0.2996616,-0.469,0.115768,1.7227,0.1825791,,,,
incub F2E_25022014,inc,2/25/14,F2,F,E,2/25/14,2/25/14,3/5/14,Y,3/5/14,10.42,50,NA,NA,0.9569,0.250166,NA,NA,1.4259,0.1330835,,,,
incub M3A_25022014,inc,2/25/14,M3,M,A,2/25/14,2/25/14,3/5/14,Y,3/5/14,9.99,50,NA,NA,0.995,0.3623507,-0.469,0.1158428,1.464,0.2452682,,,,
incub M3B_25022014,inc,2/25/14,M3,M,B,2/25/14,2/25/14,3/5/14,Y,3/5/14,10.31,50,NA,NA,0.575,0.2888991,-0.469,0.1112668,1.044,0.1718166,,,,
incub M3C_25022014,inc,2/25/14,M3,M,C,2/25/14,2/25/14,3/5/14,Y,3/5/14,10.22,50,NA,NA,0.659,0.5184659,-0.469,0.1254524,1.128,0.4013834,,,,
incub M3D_25022014,inc,2/25/14,M3,M,D,2/25/14,2/25/14,3/5/14,Y,3/5/14,9.84,50,NA,NA,1.667,0.4938238,-0.469,0.115768,2.136,0.3767413,,,,
incub M3E_25022014,inc,2/25/14,M3,M,E,2/25/14,2/25/14,3/5/14,Y,3/5/14,9.88,50,NA,NA,0.575,0.2739343,NA,NA,1.044,0.1568518,,,,
bnk I 28-02-14,bnk,2/28/14,NA,NA,NA,NA,2/28/14,NA,NA,NA,NA,50,NA,NA,-0.469,0.115174,NA,NA,NA,NA,,,,
bnk II 28-02-14,bnk,2/28/14,NA,NA,NA,NA,2/28/14,NA,NA,NA,NA,50,NA,NA,-0.26925,0.1123052,NA,NA,NA,NA,,,,
bnk III 28-02-14,bnk,2/28/14,NA,NA,NA,NA,2/28/14,NA,NA,NA,NA,50,NA,NA,-0.469,0.1130664,NA,NA,NA,NA,,,,
bnk III 04-03-14,bnk,3/4/14,NA,NA,NA,NA,3/4/14,NA,NA,NA,NA,50,NA,NA,-0.0089,0.112,NA,NA,NA,NA,,,PROBLEM - not used anywhere,Y
bnk I 05-03-14,bnk,3/5/14,NA,NA,NA,NA,3/5/14,NA,NA,NA,NA,50,NA,NA,-0.469,0.1158428,NA,NA,NA,NA,,,,
bnk II 05-03-14,bnk,3/5/14,NA,NA,NA,NA,3/5/14,NA,NA,NA,NA,50,NA,NA,-0.469,0.1112668,NA,NA,NA,NA,,,,
bnk II 05-03-14,bnk,3/5/14,NA,NA,NA,NA,3/5/14,NA,NA,NA,NA,50,NA,NA,-0.469,0.1254524,NA,NA,NA,NA,,,,
bnk III 05-03-14,bnk,3/5/14,NA,NA,NA,NA,3/5/14,NA,NA,NA,NA,50,NA,NA,-0.469,0.115768,NA,NA,NA,NA,,,,
ext bnk 06032014,bnk,3/6/14,NA,NA,NA,NA,3/6/14,NA,NA,NA,NA,50,NA,NA,0.04885,0.107,NA,NA,NA,NA,,,,
ext bnk 06032014,bnk,3/6/14,NA,NA,NA,NA,3/6/14,NA,NA,NA,NA,50,NA,NA,0.1258,0.14,NA,NA,NA,NA,,,,
extr F2A_06032014,ext,3/6/14,F2,F,A,3/6/14,3/7/14,NA,NA,NA,10.53,50,462.41,383.35,0.28825,0.332,0.04885,0.107,0.200925,0.2085,,,,
extr F2B_06032014,ext,3/6/14,F2,F,B,3/6/14,3/7/14,NA,NA,NA,10.31,50,367.81,295.15,0.16,0.692,0.1258,0.14,0.072675,0.5685,,,,
extr F2D_06032014,ext,3/6/14,F2,F,D,3/6/14,3/7/14,NA,NA,NA,10.47,50,418.91,348.25,0.20275,0.307,NA,NA,0.115425,0.1835,,,,
extr F2E_06032014,ext,3/6/14,F2,F,E,3/6/14,3/7/14,NA,NA,NA,10.53,50,419.61,340.35,0.0916,1.03,NA,NA,0.004275,0.9065,,,,
extr M1A_06032014,ext,3/6/14,M1,M,A,3/6/14,3/7/14,NA,NA,NA,9.73,50,470.41,364.35,0.790752,0.3683914,0.04885,0.107,0.703427,0.2448914,,,,
extr M1B_06032014,ext,3/6/14,M1,M,B,3/6/14,3/7/14,NA,NA,NA,10.28,50,486.71,393.45,0.6119,0.2104395,0.1258,0.14,0.524575,0.0869395,,,,
extr M1C_06032014,ext,3/6/14,M1,M,C,3/6/14,3/7/14,NA,NA,NA,9.96,50,456.81,353.05,0.5997,0.3006105,NA,NA,0.512375,0.1771105,,,,
extr M1D_06032014,ext,3/6/14,M1,M,D,3/6/14,3/7/14,NA,NA,NA,10.06,50,550.11,433.65,0.6546,0.2846016,NA,NA,0.567275,0.1611016,,,,
extr M1E_06032014,ext,3/6/14,M1,M,E,3/6/14,3/7/14,NA,NA,NA,9.67,50,459.81,352.15,0.7522,0.3080753,NA,NA,0.664875,0.1845753,,,,
extr M2A_06032014,ext,3/6/14,M2,M,A,3/6/14,3/7/14,NA,NA,NA,9.96,50,476.21,402.55,1.8868,0.913,0.04885,0.107,1.799475,0.7895,,,,
extr M2B_06032014,ext,3/6/14,M2,M,B,3/6/14,3/7/14,NA,NA,NA,9.59,50,525.41,441.95,2.4396,0.4,0.1258,0.14,2.352275,0.2765,,,,
extr M2C_06032014,ext,3/6/14,M2,M,C,3/6/14,3/7/14,NA,NA,NA,10.19,50,538.41,456.95,1.3988,0.371,NA,NA,1.311475,0.2475,,,,
extr M2D_06032014,ext,3/6/14,M2,M,D,3/6/14,3/7/14,NA,NA,NA,10.35,50,528.01,441.85,2.1186,0.656,NA,NA,2.031275,0.5325,,,,
extr M2E_06032014,ext,3/6/14,M2,M,E,3/6/14,3/7/14,NA,NA,NA,10.1,50,536.71,453.55,1.8807,0.516,NA,NA,1.793375,0.3925,,,,
extr S3A_06032014,ext,3/6/14,S3,S,A,3/6/14,3/7/14,NA,NA,NA,10.1,50,542.51,451.95,3.7632,10.2,0.04885,0.107,3.675875,10.0765,,,,
extr S3B_06032014,ext,3/6/14,S3,S,B,3/6/14,3/7/14,NA,NA,NA,10.21,50,545.81,456.95,1.225843,10.488,0.1258,0.14,1.138518,10.3645,,,,
extr S3C_06032014,ext,3/6/14,S3,S,C,3/6/14,3/7/14,NA,NA,NA,10.17,50,513.81,433.75,1.69045,1.857,NA,NA,1.603125,1.7335,,,,
extr S3D_06032014,ext,3/6/14,S3,S,D,3/6/14,3/7/14,NA,NA,NA,9.69,50,533.31,450.25,1.21165,0.518,NA,NA,1.124325,0.3945,,,,
extr S3E_06032014,ext,3/6/14,S3,S,E,3/6/14,3/7/14,NA,NA,NA,9.77,50,520.91,435.25,2.5369,9.558,NA,NA,2.449575,9.4345,,,,
incub F2A_06032014,inc,3/6/14,F2,F,A,3/6/14,3/7/14,3/19/14,N,3/19/14,10.19,50,NA,NA,1.6618,0.3194616,0.1297,0.141,1.58985,0.1714616,1.903519966,0.525,,
incub F2B_06032014,inc,3/6/14,F2,F,B,3/6/14,3/7/14,3/19/14,N,3/19/14,10.49,50,NA,NA,1.8473,0.54325,0.09505,0.168,1.77535,0.39525,2.201277279,0.828,,
incub F2C_06032014,inc,3/6/14,F2,F,C,3/6/14,3/7/14,3/19/14,N,3/19/14,10.16,50,NA,NA,2.38525,0.4593376,-0.0089,0.135,2.3133,0.3113376,2.860597044,0.736,,
incub F2D_06032014,inc,3/6/14,F2,F,D,3/6/14,3/7/14,3/19/14,N,3/19/14,10.2,50,NA,NA,1.5134,0.3195628,NA,NA,1.44145,0.1715628,1.74400712,0.512,,
incub F2E_06032014,inc,3/6/14,F2,F,E,3/6/14,3/7/14,3/19/14,N,3/19/14,10.06,50,NA,NA,2.49655,0.6201092,NA,NA,2.4246,0.4721092,NA,NA,,
incub M1A_06032014,inc,3/6/14,M1,M,A,3/6/14,3/7/14,3/19/14,N,3/19/14,9.62,50,NA,NA,2.38525,0.4990696,0.1297,0.141,2.3133,0.3510696,2.796791905,0.602,,
incub M1B_06032014,inc,3/6/14,M1,M,B,3/6/14,3/7/14,3/19/14,N,3/19/14,9.95,50,NA,NA,1.4763,0.323536,0.09505,0.168,1.40435,0.175536,1.72273874,0.436,,
incub M1C_06032014,inc,3/6/14,M1,M,C,3/6/14,3/7/14,3/19/14,N,3/19/14,9.56,50,NA,NA,1.56905,0.4239264,-0.0089,0.135,1.4971,0.2759264,1.765275499,0.488,,
incub M1D_06032014,inc,3/6/14,M1,M,D,3/6/14,3/7/14,3/19/14,N,3/19/14,10.09,50,NA,NA,3.0345,0.4210356,NA,NA,2.96255,0.2730356,2.541571351,0.495,,
incub M1E_06032014,inc,3/6/14,M1,M,E,3/6/14,3/7/14,3/19/14,N,3/19/14,10.2,50,NA,NA,2.2183,0.448518,NA,NA,2.14635,0.300518,NA,NA,,
incub M2A_06032014,inc,3/6/14,M2,M,A,3/6/14,3/7/14,3/19/14,N,3/19/14,10.33,50,NA,NA,3.7023,0.2737016,0.1297,0.141,3.63035,0.1257016,,,,
incub M2B_06032014,inc,3/6/14,M2,M,B,3/6/14,3/7/14,3/19/14,N,3/19/14,10.01,50,NA,NA,4.7411,0.4273628,0.09505,0.168,4.66915,0.2793628,,,,
incub M2C_06032014,inc,3/6/14,M2,M,C,3/6/14,3/7/14,3/19/14,N,3/19/14,10.08,50,NA,NA,3.60955,0.2984692,-0.0089,0.135,3.5376,0.1504692,,,,
incub M2D_06032014,inc,3/6/14,M2,M,D,3/6/14,3/7/14,3/19/14,N,3/19/14,10.26,50,NA,NA,4.4072,0.4202172,NA,NA,4.33525,0.2722172,,,,
incub M2E_06032014,inc,3/6/14,M2,M,E,3/6/14,3/7/14,3/19/14,N,3/19/14,10.63,50,NA,NA,3.38695,0.4464412,NA,NA,3.315,0.2984412,,,,
incub S3A_06032014,inc,3/6/14,S3,S,A,3/6/14,3/7/14,3/19/14,N,3/19/14,9.95,50,NA,NA,11.969475,0.424076,0.1297,0.141,11.897525,0.276076,,,,
incub S3B_06032014,inc,3/6/14,S3,S,B,3/6/14,3/7/14,3/19/14,N,3/19/14,9.71,50,NA,NA,3.133186,0.3844056,0.09505,0.168,3.061236,0.2364056,11.804,0.435,,
incub S3C_06032014,inc,3/6/14,S3,S,C,3/6/14,3/7/14,3/19/14,N,3/19/14,10.28,50,NA,NA,4.357486,0.4263156,-0.0089,0.135,4.285536,0.2783156,,,,
incub S3D_06032014,inc,3/6/14,S3,S,D,3/6/14,3/7/14,3/19/14,N,3/19/14,10.33,50,NA,NA,2.5151,0.3667352,NA,NA,2.44315,0.2187352,,,,
incub S3E_06032014,inc,3/6/14,S3,S,E,3/6/14,3/7/14,3/19/14,N,3/19/14,9.74,50,NA,NA,3.5168,0.3301096,NA,NA,3.44485,0.1821096,,,,
ext bnk 07032014,bnk,3/7/14,NA,NA,NA,NA,3/7/14,NA,NA,NA,NA,50,NA,NA,0.06595,0.139,NA,NA,NA,NA,,,,
ext bnk 07032014,bnk,3/7/14,NA,NA,NA,NA,3/7/14,NA,NA,NA,NA,50,NA,NA,0.0574,0.137,NA,NA,NA,NA,,,,
ext bnk 07032014,bnk,3/7/14,NA,NA,NA,NA,3/7/14,NA,NA,NA,NA,50,NA,NA,0.06595,0.19,NA,NA,NA,NA,,,,
extr M2A_07032014,ext,3/7/14,M2,M,A,3/7/14,3/7/14,NA,NA,NA,10.12,50,529.61,441.95,1.2886,0.369,0.06595,0.139,1.2255,0.213666667,,,,
extr M2B_07032014,ext,3/7/14,M2,M,B,3/7/14,3/7/14,NA,NA,NA,10.39,50,525.61,439.95,2.4172,0.399,0.0574,0.137,2.3541,0.243666667,,,,
extr M2C_07032014,ext,3/7/14,M2,M,C,3/7/14,3/7/14,NA,NA,NA,9.53,50,267.71,224.15,2.18635,0.365,0.06595,0.19,2.12325,0.209666667,,,,
extr M2D_07032014,ext,3/7/14,M2,M,D,3/7/14,3/7/14,NA,NA,NA,9.88,50,554.61,462.65,2.11795,0.331,NA,NA,2.05485,0.175666667,,,,
extr M2E_07032014,ext,3/7/14,M2,M,E,3/7/14,3/7/14,NA,NA,NA,10,50,586.61,484.75,2.532,0.296,NA,NA,2.4689,0.140666667,,,,
extr S3A_07032014,ext,3/7/14,S3,S,A,3/7/14,3/7/14,NA,NA,NA,10.3,50,246.71,193.95,1.0492,2.686,0.06595,0.139,0.9861,2.530666667,,,,
extr S3B_07032014,ext,3/7/14,S3,S,B,3/7/14,3/7/14,NA,NA,NA,9.83,50,267.31,210.85,0.935143,0.666,0.0574,0.137,0.872043,0.510666667,,,,
extr S3C_07032014,ext,3/7/14,S3,S,C,3/7/14,3/7/14,NA,NA,NA,9.67,50,357.51,277.45,0.8098,2.471,0.06595,0.19,0.7467,2.315666667,,,,
extr S3D_07032014,ext,3/7/14,S3,S,D,3/7/14,3/7/14,NA,NA,NA,9.53,50,376.61,290.15,2.37445,4.013,NA,NA,2.31135,3.857666667,,,,
extr S3E_07032014,ext,3/7/14,S3,S,E,3/7/14,3/7/14,NA,NA,NA,9.88,50,477.71,372.65,1.1689,1.176,NA,NA,1.1058,1.020666667,,,,
incub M2A_07032014,inc,3/7/14,M2,M,A,3/7/14,3/7/14,3/19/14,Y,3/19/14,10.27,50,NA,NA,2.4038,0.3287984,0.1297,0.141,2.33185,0.1807984,,,,
incub M2B_07032014,inc,3/7/14,M2,M,B,3/7/14,3/7/14,3/19/14,Y,3/19/14,10.38,50,NA,NA,2.9974,0.4109288,0.09505,0.168,2.92545,0.2629288,,,,
incub M2C_07032014,inc,3/7/14,M2,M,C,3/7/14,3/7/14,3/19/14,Y,3/19/14,9.58,50,NA,NA,3.0716,0.2948216,-0.0089,0.135,2.99965,0.1468216,,,,
incub M2D_07032014,inc,3/7/14,M2,M,D,3/7/14,3/7/14,3/19/14,Y,3/19/14,9.6,50,NA,NA,3.98055,0.3645792,NA,NA,3.9086,0.2165792,,,,
incub M2E_07032014,inc,3/7/14,M2,M,E,3/7/14,3/7/14,3/19/14,Y,3/19/14,9.78,50,NA,NA,2.638643,0.3135788,NA,NA,2.566693,0.1655788,,,,
incub S3A_07032014,inc,3/7/14,S3,S,A,3/7/14,3/7/14,3/19/14,Y,3/19/14,9.49,50,NA,NA,3.46115,0.3827512,0.1297,0.141,3.3892,0.2347512,,,,
incub S3B_07032014,inc,3/7/14,S3,S,B,3/7/14,3/7/14,3/19/14,Y,3/19/14,10.19,50,NA,NA,2.7377,0.4984976,0.09505,0.168,2.66575,0.3504976,,,,
incub S3C_07032014,inc,3/7/14,S3,S,C,3/7/14,3/7/14,3/19/14,Y,3/19/14,9.98,50,NA,NA,4.35155,0.551698,-0.0089,0.135,4.2796,0.403698,,,,
incub S3D_07032014,inc,3/7/14,S3,S,D,3/7/14,3/7/14,3/19/14,Y,3/19/14,9.58,50,NA,NA,5.61295,0.569716,NA,NA,5.541,0.421716,,,,
incub S3E_07032014,inc,3/7/14,S3,S,E,3/7/14,3/7/14,3/19/14,Y,3/19/14,10.43,50,NA,NA,3.4797,0.6237568,NA,NA,3.40775,0.4757568,,,,
extr M2A_18032014,ext,3/18/14,M2,M,A,3/18/14,3/19/14,NA,NA,NA,10.33,50,116.77,97.19,0.7475,0.626,0.1297,0.141,0.67555,0.478,,,,
extr M2B_18032014,ext,3/18/14,M2,M,B,3/18/14,3/19/14,NA,NA,NA,10.35,50,150.47,125.09,1.0151,0.529,0.09505,0.168,0.94315,0.381,,,,
extr M2C_18032014,ext,3/18/14,M2,M,C,3/18/14,3/19/14,NA,NA,NA,9.85,50,116.47,96.99,0.6137,0.562,-0.0089,0.135,0.54175,0.414,0.564,0.603,,
extr M2D_18032014,ext,3/18/14,M2,M,D,3/18/14,3/19/14,NA,NA,NA,10.45,50,156.7,129.89,0.5691,0.48,NA,NA,0.49715,0.332,,,,
extr M2E_18032014,ext,3/18/14,M2,M,E,3/18/14,3/19/14,NA,NA,NA,10.33,50,147.24,120.09,0.7698,0.654,NA,NA,0.69785,0.506,,,,
extr S3A_18032014,ext,3/18/14,S3,S,A,3/18/14,3/19/14,NA,NA,NA,10.31,50,120.32,96.19,0.8611,0.569,0.1297,0.141,0.78915,0.421,1.016,0.633,,
extr S3B_18032014,ext,3/18/14,S3,S,B,3/18/14,3/19/14,NA,NA,NA,9.76,50,174.82,143.59,0.57895,0.556,0.09505,0.168,0.507,0.408,0.692,0.622,,
extr S3C_18032014,ext,3/18/14,S3,S,C,3/18/14,3/19/14,NA,NA,NA,10.04,50,120.63,97.49,1.53655,0.536,-0.0089,0.135,1.4646,0.388,1.872,0.571,,
extr S3D_18032014,ext,3/18/14,S3,S,D,3/18/14,3/19/14,NA,NA,NA,9.83,50,175.95,141.69,0.76705,0.442,NA,NA,0.6951,0.294,0.859,0.485,,
extr S3E_18032014,ext,3/18/14,S3,S,E,3/18/14,3/19/14,NA,NA,NA,10.63,50,107.64,90.09,0.5022,0.66,NA,NA,0.43025,0.512,0.483,0.734,,
incub M2A_18032014,inc,3/18/14,M2,M,A,3/18/14,3/19/14,3/25/14,N,3/25/14,10.12,50,NA,NA,1.365,0.33095,0.1983,0.017,1.1429,0.30895,,,,
