GCRun	RunOrder	Pressure	SampleDate	SampleName	Site	LUtype	Chamber	TimePt	TimePtSq
20140310_U	84	Y	2014.02.12	SD-B-12-T15	SD	S	B	15	225
20140310_U	85	Y	2014.02.12	SD-B-12-T0	SD	S	B	0	0
20140310_U	86	Y	2014.02.12	SD-A-12-T45	SD	S	A	45	2025
20140310_U	87	Y	2014.02.12	SD-A-12-T30	SD	S	A	30	900
20140310_U	88	Y	2014.02.12	SD-A-12-T15	SD	S	A	15	225
20140310_U	89	Y	2014.02.12	SD-A-12-T0	SD	S	A	0	0
20140310_U	90	Y	2014.02.12	SD-E-12-T45	SD	S	E	45	2025
20140310_U	91	Y	2014.02.12	SD-E-12-T30	SD	S	E	30	900
20140310_U	92	Y	2014.02.12	SD-E-12-T15	SD	S	E	15	225
20140310_U	93	Y	2014.02.12	SD-E-12-T0	SD	S	E	0	0
20140310_U	94	Y	2014.02.12	SD-D-12-T45	SD	S	D	45	2025
20140310_U	95	Y	2014.02.12	SD-D-12-T30	SD	S	D	30	900
20140310_U	96	Y	2014.02.12	SD-D-12-T15	SD	S	D	15	225
20140310_U	97	Y	2014.02.12	SD-D-12-T0	SD	S	D	0	0
20140310_U	98	Y	2014.02.12	SD-C-12-T45	SD	S	C	45	2025
20140310_U	99	Y	2014.02.12	SD-C-12-T30	SD	S	C	30	900
