standardizedfilenames	howprocess
20131104_AA	flux
20131105_BB	flux
20131105_U	flux
20131106_V	flux
20131106_W	flux
20131107_X	flux
20131107_Y	flux
20131108_Z	flux
20140113_W	flux
20140113_X	pit
20140114_V	flux
20140310_H	fluxpit
20140310_U	flux
20140311_W	flux
20140311_X	flux
20140312_Y	flux
20140313_Z	flux
20140416_J	flux
20140416_V	flux
20140417_K	flux
20140417_N	flux
20140418_M	flux
20140418_P	flux
20140605_Trav	travel
20140606_Leak0	leak
20140613_Leak1	leak
20140701_Leak4	leak
