Site,Chamber,DateField,DateLabBegin,DateLabEnd,SampleID,SoilWetWeight_DarroPlasBaggie,SoilWetWeight_TownOnArrival,SoilDryWeight_TownPapBag,TownBagType,SoilWetWeight_DarroMinusBaggie,SoilDryWeight_TownMinusPapBag,SoilWetDryWeight_MassDifference,SoilMoisture_DryWeightBasis,SampleIDVialExt,ExtractionSoilWeight,ExtractionKCl,SampleIDVialInc,IncubationSoilWeight_80g,IncubationSoilWeight,IncubationKCl,DateLabBeginInc,DateLabEndInc,SampleIDVialIncDOC,DOCSoilWeight,DOCDIWater,DateLabBeginDOC,DateLabEndDOC,Comments,
F2,B,18/12/2013,18/12/2013,,F2B_18122013,143.16,,112,small,140.07,109.59,30.48,0.278127566,extr F2B_18122013,,50,incub F2B_18122013,,,50,,,,,,,,No extractions - just did gas and moisture measurements,
F2,C,18/12/2013,18/12/2013,,F2C_18122013,163.21,,125.5,small,160.12,123.09,37.03,0.300836786,extr F2C_18122013,,50,incub F2C_18122013,,,50,,,,,,,,No extractions - just did gas and moisture measurements,
F2,D,18/12/2013,18/12/2013,,F2D_18122013,147,,116.1,small,143.91,113.69,30.22,0.265810537,extr F2D_18122013,,50,incub F2D_18122013,,,50,,,,,,,,No extractions - just did gas and moisture measurements,
F2,E,18/12/2013,18/12/2013,,F2E_18122013,85.89,,70.9,small,82.8,68.49,14.31,0.208935611,extr F2E_18122013,,50,incub F2E_18122013,,,50,,,,,,,,No extractions - just did gas and moisture measurements,
S1,A,18/12/2013,18/12/2013,,S1A_18122013,147.89,,116.9,small,144.8,114.49,30.31,0.264739279,extr S1A_18122013,,50,incub S1A_18122013,,,50,,,,,,,,No extractions - just did gas and moisture measurements,
S1,B,18/12/2013,18/12/2013,,S1B_18122013,137.53,,111.7,small,134.44,109.29,25.15,0.230121695,extr S1B_18122013,,50,incub S1B_18122013,,,50,,,,,,,,No extractions - just did gas and moisture measurements,
S1,C,18/12/2013,18/12/2013,,S1C_18122013,166.69,,135.8,small,163.6,133.39,30.21,0.226478747,extr S1C_18122013,,50,incub S1C_18122013,,,50,,,,,,,,No extractions - just did gas and moisture measurements,
S1,D,18/12/2013,18/12/2013,,S1D_18122013,166.66,,133.6,small,163.57,131.19,32.38,0.246817593,extr S1D_18122013,,50,incub S1D_18122013,,,50,,,,,,,,No extractions - just did gas and moisture measurements,
S1,E,18/12/2013,18/12/2013,,S1E_18122013,144.64,,114.5,small,141.55,112.09,29.46,0.262824516,extr S1E_18122013,,50,incub S1E_18122013,,,50,,,,,,,,No extractions - just did gas and moisture measurements,
Blank,NA,NaN,18/12/2013,,bnk 18122013,NA,,NA,NA,NA,NA,NA,NA,bnk 18122013,NA,50,NA,,NA,NA,NaN,NaN,,,,,,No extractions - just did gas and moisture measurements,
Blank,NA,NaN,18/12/2013,,bnk 18122013,NA,,NA,NA,NA,NA,NA,NA,bnk 18122013,NA,50,NA,,NA,NA,NaN,NaN,,,,,,No extractions - just did gas and moisture measurements,
Blank,NA,NaN,18/12/2013,,bnk 18122013,NA,,NA,NA,NA,NA,NA,NA,bnk 18122013,NA,50,NA,,NA,NA,NaN,NaN,,,,,,No extractions - just did gas and moisture measurements,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,A,19/12/2013,19/12/2013,,SDA_19122013,162.07,,138.4,small,158.98,135.99,22.99,0.169056548,extr SDA_19122013,NA,50,incub SDA_19122013,,NA,50,,,,,,,,No extractions - just did gas and moisture measurements,
SD,B,19/12/2013,19/12/2013,,SDB_19122013,179.2,,152.4,small,176.11,149.99,26.12,0.174144943,extr SDB_19122013,NA,50,incub SDB_19122013,,NA,50,,,,,,,,No extractions - just did gas and moisture measurements,
SD,C,19/12/2013,19/12/2013,,SDC_19122013,149.46,,128.8,small,146.37,126.39,19.98,0.158082127,extr SDC_19122013,NA,50,incub SDC_19122013,,NA,50,,,,,,,,No extractions - just did gas and moisture measurements,
SD,D,19/12/2013,19/12/2013,,SDD_19122013,122.1,,105.6,small,119.01,103.19,15.82,0.153309429,extr SDD_19122013,NA,50,incub SDD_19122013,,NA,50,,,,,,,,No extractions - just did gas and moisture measurements,
SD,E,19/12/2013,19/12/2013,,SDE_19122013,200.77,,137.5,small,197.68,135.09,62.59,0.463320749,extr SDE_19122013,NA,50,incub SDE_19122013,,NA,50,,,,,,,,No extractions - just did gas and moisture measurements,
M1,A,19/12/2013,19/12/2013,,M1A_19122013,110.8,,88.2,small,107.71,85.79,21.92,0.255507635,extr M1A_19122013,NA,50,incub M1A_19122013,,NA,50,,,,,,,,No extractions - just did gas and moisture measurements,
M1,B,19/12/2013,19/12/2013,,M1B_19122013,136.61,,108.7,small,133.52,106.29,27.23,0.256185906,extr M1B_19122013,NA,50,incub M1B_19122013,,NA,50,,,,,,,,No extractions - just did gas and moisture measurements,
M1,C,19/12/2013,19/12/2013,,M1C_19122013,104.41,,82.9,small,101.32,80.49,20.83,0.258789912,extr M1C_19122013,NA,50,incub M1C_19122013,,NA,50,,,,,,,,No extractions - just did gas and moisture measurements,
M1,D,19/12/2013,19/12/2013,,M1D_19122013,113.58,,89.4,small,110.49,86.99,23.5,0.270145994,extr M1D_19122013,NA,50,incub M1D_19122013,,NA,50,,,,,,,,No extractions - just did gas and moisture measurements,
M1,E,19/12/2013,19/12/2013,,M1E_19122013,120.93,,95.1,small,117.84,92.69,25.15,0.271334556,extr M1E_19122013,NA,50,incub M1E_19122013,,NA,50,,,,,,,,No extractions - just did gas and moisture measurements,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,A,29/1/2014,29/1/2014,,M1A_29012014,104.03,,85.2,small,100.94,82.79,18.15,0.219229376,extr M1A_29012014,9.81,50,incub M1A_29012014,,9.89,50,29/1/2014,,DOC M1A_29012014,5.05,25,29/1/2014,,Should switch to double the amount DOC soil/DI so that I can have 20 ml in the spare vial and not 10 ml and 10 ml?,
M1,B,29/1/2014,29/1/2014,,M1B_29012014,140.97,,114.1,small,137.88,111.69,26.19,0.234488316,extr M1B_29012014,9.75,50,incub M1B_29012014,,10.13,50,29/1/2014,,DOC M1B_29012014,5.07,25,29/1/2014,,,
M1,C,29/1/2014,29/1/2014,,M1C_29012014,126.68,,103.4,small,123.59,100.99,22.6,0.223784533,extr M1C_29012014,9.9,50,incub M1C_29012014,,10.57,50,29/1/2014,,DOC M1C_29012014,5.06,25,29/1/2014,,,
M1,D,29/1/2014,29/1/2014,,M1D_29012014,123.44,,100.3,small,120.35,97.89,22.46,0.22944121,extr M1D_29012014,10.07,50,incub M1D_29012014,,10.83,50,29/1/2014,,DOC M1D_29012014,4.76,25,29/1/2014,,,
M1,E,29/1/2014,29/1/2014,,M1E_29012014,142.89,,115.2,small,139.8,112.79,27.01,0.239471584,extr M1E_29012014,9.59,50,incub M1E_29012014,,9.89,50,29/1/2014,,DOC M1E_29012014,5.09,25,29/1/2014,,,
F3,A,29/1/2014,29/1/2014,,F3A_29012014,197.2,,164.3,small,194.11,161.89,32.22,0.199024029,extr F3A_29012014,9.76,50,incub F3A_29012014,,9.87,50,29/1/2014,,DOC F3A_29012014,5.16,25,29/1/2014,,,
F3,B,29/1/2014,29/1/2014,,F3B_29012014,118.57,,95.5,small,115.48,93.09,22.39,0.240519927,extr F3B_29012014,10.03,50,incub F3B_29012014,,9.75,50,29/1/2014,,DOC F3B_29012014,5.06,25,29/1/2014,,,
F3,C,29/1/2014,29/1/2014,,F3C_29012014,135.16,,112.1,small,132.07,109.69,22.38,0.204029538,extr F3C_29012014,9.63,50,incub F3C_29012014,,10.29,50,29/1/2014,,DOC F3C_29012014,5.26,25,29/1/2014,,,
F3,D,29/1/2014,29/1/2014,,F3D_29012014,108.52,,88,small,105.43,85.59,19.84,0.231802781,extr F3D_29012014,9.7,50,incub F3D_29012014,,10.28,50,29/1/2014,,DOC F3D_29012014,4.87,25,29/1/2014,,,
F3,E,29/1/2014,29/1/2014,,F3E_29012014,141.39,,115.8,small,138.3,113.39,24.91,0.219684276,extr F3E_29012014,10.01,50,incub F3E_29012014,,9.86,50,29/1/2014,,DOC F3E_29012014,5,25,29/1/2014,,,
Ext Blank,NA,NaN,29/1/2014,,ext bnk 29012014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 29012014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
Ext Blank,NA,NaN,29/1/2014,,ext bnk 29012014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 29012014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
Ext Blank,NA,NaN,29/1/2014,,ext bnk 29012014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 29012014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
