Site,Chamber,DateField,DateLabBegin,DateLabEnd,SampleID,SoilWetWeight_DarroPlasBaggie,SoilWetWeight_TownOnArrival,SoilDryWeight_TownPapBag,TownBagType,SoilWetWeight_DarroMinusBaggie,SoilDryWeight_TownMinusPapBag,SoilWetDryWeight_MassDifference,SoilMoisture_DryWeightBasis,SampleIDVialExt,ExtractionSoilWeight,ExtractionKCl,SampleIDVialInc,IncubationSoilWeight_80g,IncubationSoilWeight,IncubationKCl,DateLabBeginInc,DateLabEndInc,SampleIDVialIncDOC,DOCSoilWeight,DOCDIWater,DateLabBeginDOC,DateLabEndDOC,Comments,
S?,E,6/2/14,6/2/14,,S?E_06022014,133.8,,108.5,small,130.71,106.09,24.62,0.232067113,extr S?E_06022014,9.61,50,incub S?E_06022014,,9.96,50,6/2/14,,DOC S?E_06022014,5.28,25,6/2/14,,GOT FUCKED UP; ABANDONED THIS LAB WORK,
Ext Blank,NA,NaN,6/2/14,,ext bnk 06022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 06022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,GOT FUCKED UP; ABANDONED THIS LAB WORK,
Ext Blank,NA,NaN,6/2/14,,ext bnk 06022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 06022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,GOT FUCKED UP; ABANDONED THIS LAB WORK,
Ext Blank,NA,NaN,6/2/14,,ext bnk 06022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 06022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,GOT FUCKED UP; ABANDONED THIS LAB WORK,
DOC Blank,NA,NaN,6/2/14,,DOC bnk 06022014,NA,,NA,NA,NA,NA,NA,NA,DOC bnk 06022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,GOT FUCKED UP; ABANDONED THIS LAB WORK,
DOC Blank,NA,NaN,6/2/14,,DOC bnk 06022014,NA,,NA,NA,NA,NA,NA,NA,DOC bnk 06022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,GOT FUCKED UP; ABANDONED THIS LAB WORK,
DOC Blank,NA,NaN,6/2/14,,DOC bnk 06022014,NA,,NA,NA,NA,NA,NA,NA,DOC bnk 06022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,GOT FUCKED UP; ABANDONED THIS LAB WORK,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,A,11/2/14,11/2/14,,F1A_11022014,143.36,,111.3,small,140.27,108.89,31.38,0.288180733,extr F1A_11022014,10.37,50,incub F1A_11022014,,10.47,50,11/2/14,,No DOC testing,No DOC testing,25,11/2/14,,Lab work actually finished the morning of 12/3/14 (~8 am),
F1,B,11/2/14,11/2/14,,F1B_11022014,166.1,,130.8,small,163.01,128.39,34.62,0.269647169,extr F1B_11022014,10.52,50,incub F1B_11022014,,9.89,50,11/2/14,,No DOC testing,No DOC testing,25,11/2/14,,Lab work actually finished the morning of 12/3/14 (~8 am),
F1,C,11/2/14,11/2/14,,F1C_11022014,141.09,,110.5,small,138,108.09,29.91,0.27671385,extr F1C_11022014,10.08,50,incub F1C_11022014,,10.62,50,11/2/14,,No DOC testing,No DOC testing,25,11/2/14,,Lab work actually finished the morning of 12/3/14 (~8 am),
F1,D,11/2/14,11/2/14,,F1D_11022014,127.66,,98.4,small,124.57,95.99,28.58,0.297739348,extr F1D_11022014,9.72,50,incub F1D_11022014,,9.87,50,11/2/14,,No DOC testing,No DOC testing,25,11/2/14,,Lab work actually finished the morning of 12/3/14 (~8 am),
F1,E,11/2/14,11/2/14,,F1E_11022014,145.95,,104.3,small,142.86,101.89,40.97,0.402100304,extr F1E_11022014,10.59,50,incub F1E_11022014,,9.79,50,11/2/14,,No DOC testing,No DOC testing,25,11/2/14,,Lab work actually finished the morning of 12/3/14 (~8 am),
M3,A,11/2/14,11/2/14,,M3A_11022014,141.62,,119.9,small,138.53,117.49,21.04,0.179079071,extr M3A_11022014,10.23,50,incub M3A_11022014,,9.82,50,11/2/14,,No DOC testing,No DOC testing,25,11/2/14,,Lab work actually finished the morning of 12/3/14 (~8 am),
M3,B,11/2/14,11/2/14,,M3B_11022014,108.51,,90.8,small,105.42,88.39,17.03,0.192668854,extr M3B_11022014,9.82,50,incub M3B_11022014,,10.54,50,11/2/14,,No DOC testing,No DOC testing,25,11/2/14,,Lab work actually finished the morning of 12/3/14 (~8 am),
M3,C,11/2/14,11/2/14,,M3C_11022014,159.44,,132.3,small,156.35,129.89,26.46,0.203710832,extr M3C_11022014,9.73,50,incub M3C_11022014,,10.35,50,11/2/14,,No DOC testing,No DOC testing,25,11/2/14,,Lab work actually finished the morning of 12/3/14 (~8 am),
M3,D,11/2/14,11/2/14,,M3D_11022014,119.84,,99,small,116.75,96.59,20.16,0.208717259,extr M3D_11022014,10.03,50,incub M3D_11022014,,9.87,50,11/2/14,,No DOC testing,No DOC testing,25,11/2/14,,Lab work actually finished the morning of 12/3/14 (~8 am),
M3,E,11/2/14,11/2/14,,M3E_11022014,104.29,,86.3,small,101.2,83.89,17.31,0.206341638,extr M3E_11022014,9.65,50,incub M3E_11022014,,10.02,50,11/2/14,,No DOC testing,No DOC testing,25,11/2/14,,Lab work actually finished the morning of 12/3/14 (~8 am),
M1,A,11/2/14,11/2/14,,M1A_11022014,123.02,,100.3,small,119.93,97.89,22.04,0.225150679,extr M1A_11022014,10.19,50,incub M1A_11022014,,10.5,50,11/2/14,,No DOC testing,No DOC testing,25,11/2/14,,Lab work actually finished the morning of 12/3/14 (~8 am),
M1,B,11/2/14,11/2/14,,M1B_11022014,108.46,,86.6,small,105.37,84.19,21.18,0.251573821,extr M1B_11022014,9.97,50,incub M1B_11022014,,9.88,50,11/2/14,,No DOC testing,No DOC testing,25,11/2/14,,Lab work actually finished the morning of 12/3/14 (~8 am),
M1,C,11/2/14,11/2/14,,M1C_11022014,118.12,,94.7,small,115.03,92.29,22.74,0.246397226,extr M1C_11022014,9.5,50,incub M1C_11022014,,9.91,50,11/2/14,,No DOC testing,No DOC testing,25,11/2/14,,Lab work actually finished the morning of 12/3/14 (~8 am),
M1,D,11/2/14,11/2/14,,M1D_11022014,109.93,,88.7,small,106.84,86.29,20.55,0.238150423,extr M1D_11022014,9.75,50,incub M1D_11022014,,9.72,50,11/2/14,,No DOC testing,No DOC testing,25,11/2/14,,Lab work actually finished the morning of 12/3/14 (~8 am),
M1,E,11/2/14,11/2/14,,M1E_11022014,149.55,,118.8,small,146.46,116.39,30.07,0.258355529,extr M1E_11022014,Sieve too clogged,50,incub M1E_11022014,,Sieve too clogged,50,11/2/14,,No DOC testing,No DOC testing,25,11/2/14,,Lab work actually finished the morning of 12/3/14 (~8 am),
Ext Blank,NA,NaN,11/2/14,,ext bnk 11022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 11022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,Lab work actually finished the morning of 12/3/14 (~8 am),
Ext Blank,NA,NaN,11/2/14,,ext bnk 11022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 11022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,Lab work actually finished the morning of 12/3/14 (~8 am),
Ext Blank,NA,NaN,11/2/14,,ext bnk 11022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 11022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,Lab work actually finished the morning of 12/3/14 (~8 am),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM,A,12/2/14,12/2/14,,SMA_12022014,121.28,,97.1,small,118.19,94.69,23.5,0.248178266,extr SMA_12022014,9.81,50,incub SMA_12022014,,9.69,50,12/2/14,,No DOC testing,No DOC testing,25,12/2/14,,Lab work actually began the morning of 12/3/14 (~10 am),
SM,B,12/2/14,12/2/14,,SMB_12022014,126.46,,99.2,small,123.37,96.79,26.58,0.274615146,extr SMB_12022014,9.66,50,incub SMB_12022014,,9.71,50,12/2/14,,No DOC testing,No DOC testing,25,12/2/14,,Lab work actually began the morning of 12/3/14 (~10 am),
SM,C,12/2/14,12/2/14,,SMC_12022014,153.02,,123.6,small,149.93,121.19,28.74,0.23714828,extr SMC_12022014,9.76,50,incub SMC_12022014,,9.8,50,12/2/14,,No DOC testing,No DOC testing,25,12/2/14,,Lab work actually began the morning of 12/3/14 (~10 am),
SM,D,12/2/14,12/2/14,,SMD_12022014,130.54,,103.8,small,127.45,101.39,26.06,0.25702732,extr SMD_12022014,10.45,50,incub SMD_12022014,,9.81,50,12/2/14,,No DOC testing,No DOC testing,25,12/2/14,,Lab work actually began the morning of 12/3/14 (~10 am),
SM,E,12/2/14,12/2/14,,SME_12022014,133.92,,107.2,small,130.83,104.79,26.04,0.248496994,extr SME_12022014,9.61,50,incub SME_12022014,,9.92,50,12/2/14,,No DOC testing,No DOC testing,25,12/2/14,,Lab work actually began the morning of 12/3/14 (~10 am),
F2,A,12/2/14,12/2/14,,F2A_12022014,138.74,,108.9,small,135.65,106.49,29.16,0.273828529,extr F2A_12022014,9.42,50,incub F2A_12022014,,9.85,50,12/2/14,,No DOC testing,No DOC testing,25,12/2/14,,Lab work actually began the morning of 12/3/14 (~10 am),
F2,B,12/2/14,12/2/14,,F2B_12022014,150.49,,119.2,small,147.4,116.79,30.61,0.262094357,extr F2B_12022014,10.19,50,incub F2B_12022014,,10.45,50,12/2/14,,No DOC testing,No DOC testing,25,12/2/14,,Lab work actually began the morning of 12/3/14 (~10 am),
F2,C,12/2/14,12/2/14,,F2C_12022014,122.77,,96.7,small,119.68,94.29,25.39,0.269275639,extr F2C_12022014,9.59,50,incub F2C_12022014,,9.68,50,12/2/14,,No DOC testing,No DOC testing,25,12/2/14,,Lab work actually began the morning of 12/3/14 (~10 am),
F2,D,12/2/14,12/2/14,,F2D_12022014,153.49,,122.2,small,150.4,119.79,30.61,0.255530512,extr F2D_12022014,10.56,50,incub F2D_12022014,,9.5,50,12/2/14,,No DOC testing,No DOC testing,25,12/2/14,,Lab work actually began the morning of 12/3/14 (~10 am),
F2,E,12/2/14,12/2/14,,F2E_12022014,158.45,,125.7,small,155.36,123.29,32.07,0.26011842,extr F2E_12022014,10.45,50,incub F2E_12022014,,10.05,50,12/2/14,,No DOC testing,No DOC testing,25,12/2/14,,Lab work actually began the morning of 12/3/14 (~10 am),
SD,A,12/2/14,12/2/14,,SDA_12022014,169.78,,142.3,small,166.69,139.89,26.8,0.191579098,extr SDA_12022014,9.65,50,incub SDA_12022014,,9.61,50,12/2/14,,No DOC testing,No DOC testing,25,12/2/14,,Lab work actually began the morning of 12/3/14 (~10 am),
SD,B,12/2/14,12/2/14,,SDB_12022014,133.22,,109.9,small,130.13,107.49,22.64,0.210624244,extr SDB_12022014,9.6,50,incub SDB_12022014,,10.17,50,12/2/14,,No DOC testing,No DOC testing,25,12/2/14,,Lab work actually began the morning of 12/3/14 (~10 am),
SD,C,12/2/14,12/2/14,,SDC_12022014,149.76,,126.1,small,146.67,123.69,22.98,0.185787048,extr SDC_12022014,9.5,50,incub SDC_12022014,,10.06,50,12/2/14,,No DOC testing,No DOC testing,25,12/2/14,,Lab work actually began the morning of 12/3/14 (~10 am),
SD,D,12/2/14,12/2/14,,SDD_12022014,130.64,,108.6,small,127.55,106.19,21.36,0.201148884,extr SDD_12022014,9.71,50,incub SDD_12022014,,10.19,50,12/2/14,,No DOC testing,No DOC testing,25,12/2/14,,Lab work actually began the morning of 12/3/14 (~10 am),
SD,E,12/2/14,12/2/14,,SDE_12022014,166.35,,140.2,small,163.26,137.79,25.47,0.184846506,extr SDE_12022014,10.15,50,incub SDE_12022014,,10.45,50,12/2/14,,No DOC testing,No DOC testing,25,12/2/14,,Lab work actually began the morning of 12/3/14 (~10 am),
Ext Blank,NA,NaN,12/2/14,,ext bnk 12022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 12022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,Lab work actually began the morning of 12/3/14 (~10 am),
Ext Blank,NA,NaN,12/2/14,,ext bnk 12022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 12022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,Lab work actually began the morning of 12/3/14 (~10 am),
Ext Blank,NA,NaN,12/2/14,,ext bnk 12022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 12022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,Lab work actually began the morning of 12/3/14 (~10 am),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM,A,14/2/2014,14/2/2014,,SMA_14022014,138.77,,108.1,small,135.68,105.69,29.99,0.283754376,extr SMA_14022014,9.67,50,incub SMA_14022014,,9.93,50,14/2/2014,,No DOC testing,No DOC testing,25,14/2/2014,,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
SM,B,14/2/2014,14/2/2014,,SMB_14022014,159.09,,122.6,small,156,120.19,35.81,0.297944921,extr SMB_14022014,10.02,50,incub SMB_14022014,,9.68,50,14/2/2014,,No DOC testing,No DOC testing,25,14/2/2014,,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
SM,C,14/2/2014,14/2/2014,,SMC_14022014,129.91,,102.8,small,126.82,100.39,26.43,0.263273234,extr SMC_14022014,10,50,incub SMC_14022014,,10.07,50,14/2/2014,,No DOC testing,No DOC testing,25,14/2/2014,,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
SM,D,14/2/2014,14/2/2014,,SMD_14022014,124.57,,97.1,small,121.48,94.69,26.79,0.282923223,extr SMD_14022014,9.9,50,incub SMD_14022014,,10.24,50,14/2/2014,,No DOC testing,No DOC testing,25,14/2/2014,,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
SM,E,14/2/2014,14/2/2014,,SME_14022014,116.56,,93.5,small,113.47,91.09,22.38,0.245691075,extr SME_14022014,10.48,50,incub SME_14022014,,10.47,50,14/2/2014,,No DOC testing,No DOC testing,25,14/2/2014,,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
M3,A,14/2/2014,14/2/2014,,M3A_14022014,159.69,,133.5,small,156.6,131.09,25.51,0.19459913,extr M3A_14022014,10.65,50,incub M3A_14022014,,9.85,50,14/2/2014,,No DOC testing,No DOC testing,25,14/2/2014,,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
M3,B,14/2/2014,14/2/2014,,M3B_14022014,141.15,,116.3,small,138.06,113.89,24.17,0.21222232,extr M3B_14022014,10.4,50,incub M3B_14022014,,9.62,50,14/2/2014,,No DOC testing,No DOC testing,25,14/2/2014,,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
M3,C,14/2/2014,14/2/2014,,M3C_14022014,166.74,,135.6,small,163.65,133.19,30.46,0.228695848,extr M3C_14022014,10.5,50,incub M3C_14022014,,9.94,50,14/2/2014,,No DOC testing,No DOC testing,25,14/2/2014,,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
M3,D,14/2/2014,14/2/2014,,M3D_14022014,181.94,,151.6,small,178.85,149.19,29.66,0.198806891,extr M3D_14022014,10.18,50,incub M3D_14022014,,10.25,50,14/2/2014,,No DOC testing,No DOC testing,25,14/2/2014,,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
M3,E,14/2/2014,14/2/2014,,M3E_14022014,144.36,,117.1,small,141.27,114.69,26.58,0.231755166,extr M3E_14022014,10.15,50,incub M3E_14022014,,10.07,50,14/2/2014,,No DOC testing,No DOC testing,25,14/2/2014,,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
Ext Blank,NA,NaN,14/2/2014,,ext bnk 14022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 14022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
Ext Blank,NA,NaN,14/2/2014,,ext bnk 14022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 14022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
Ext Blank,NA,NaN,14/2/2014,,ext bnk 14022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 14022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3,A,18/2/2014,18/2/2014,,M3A_18022014,158.39,,123.6,small,155.3,121.19,34.11,0.281458866,extr M3A_18022014,9.94,50,incub M3A_18022014,,10.2,50,18/2/2014,,No DOC testing,No DOC testing,25,18/2/2014,,,
M3,B,18/2/2014,18/2/2014,,M3B_18022014,170.5,,135.2,small,167.41,132.79,34.62,0.260712403,extr M3B_18022014,10.02,50,incub M3B_18022014,,10.22,50,18/2/2014,,No DOC testing,No DOC testing,25,18/2/2014,,,
M3,C,18/2/2014,18/2/2014,,M3C_18022014,120.55,,92.7,small,117.46,90.29,27.17,0.30091926,extr M3C_18022014,9.69,50,incub M3C_18022014,,10.26,50,18/2/2014,,No DOC testing,No DOC testing,25,18/2/2014,,,
M3,D,18/2/2014,18/2/2014,,M3D_18022014,173.96,,139.8,small,170.87,137.39,33.48,0.243685858,extr M3D_18022014,9.73,50,incub M3D_18022014,,9.78,50,18/2/2014,,No DOC testing,No DOC testing,25,18/2/2014,,,
M3,E,18/2/2014,18/2/2014,,M3E_18022014,172.44,,136.3,small,169.35,133.89,35.46,0.264844275,extr M3E_18022014,10.05,50,incub M3E_18022014,,10.4,50,18/2/2014,,No DOC testing,No DOC testing,25,18/2/2014,,,
Ext Blank,NA,NaN,18/2/2014,,ext bnk 18022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 18022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
Ext Blank,NA,NaN,18/2/2014,,ext bnk 18022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 18022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
Ext Blank,NA,NaN,18/2/2014,,ext bnk 18022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 18022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM,A,20/2/2014,20/2/2014,,SMA_20022014,138.77,,124.7,small,135.68,122.29,13.39,0.109493826,extr SMA_20022014,9.71,50,incub SMA_20022014,,10.33,50,20/2/2014,,No DOC testing,No DOC testing,25,20/2/2014,,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
SM,B,20/2/2014,20/2/2014,,SMB_20022014,159.09,,94.6,small,156,92.19,63.81,0.692157501,extr SMB_20022014,10.26,50,incub SMB_20022014,,10.12,50,20/2/2014,,No DOC testing,No DOC testing,25,20/2/2014,,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
SM,C,20/2/2014,20/2/2014,,SMC_20022014,129.91,,115.7,small,126.82,113.29,13.53,0.119428017,extr SMC_20022014,10.23,50,incub SMC_20022014,,10.39,50,20/2/2014,,No DOC testing,No DOC testing,25,20/2/2014,,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
SM,D,20/2/2014,20/2/2014,,SMD_20022014,124.57,,121.3,small,121.48,118.89,2.59,0.021784843,extr SMD_20022014,9.74,50,incub SMD_20022014,,10.34,50,20/2/2014,,No DOC testing,No DOC testing,25,20/2/2014,,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
SM,E,20/2/2014,20/2/2014,,SME_20022014,116.56,,126.1,small,113.47,123.69,-10.22,-0.08262592,extr SME_20022014,9.93,50,incub SME_20022014,,10,50,20/2/2014,,No DOC testing,No DOC testing,25,20/2/2014,,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
F2,A,20/2/2014,20/2/2014,,F2A_20022014,159.69,,107.2,small,156.6,104.79,51.81,0.494417406,extr F2A_20022014,10.04,50,incub F2A_20022014,,9.74,50,20/2/2014,,No DOC testing,No DOC testing,25,20/2/2014,,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
F2,B,20/2/2014,20/2/2014,,F2B_20022014,141.15,,101.7,small,138.06,99.29,38.77,0.390472354,extr F2B_20022014,9.86,50,incub F2B_20022014,,9.78,50,20/2/2014,,No DOC testing,No DOC testing,25,20/2/2014,,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
F2,C,20/2/2014,20/2/2014,,F2C_20022014,166.74,,142,small,163.65,139.59,24.06,0.172361917,extr F2C_20022014,10.26,50,incub F2C_20022014,,10.33,50,20/2/2014,,No DOC testing,No DOC testing,25,20/2/2014,,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
F2,D,20/2/2014,20/2/2014,,F2D_20022014,181.94,,114.6,small,178.85,112.19,66.66,0.594170603,extr F2D_20022014,10.04,50,incub F2D_20022014,,10.26,50,20/2/2014,,No DOC testing,No DOC testing,25,20/2/2014,,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
F2,E,20/2/2014,20/2/2014,,F2E_20022014,144.36,,100.7,small,141.27,98.29,42.98,0.437277444,extr F2E_20022014,10.11,50,incub F2E_20022014,,10.16,50,20/2/2014,,No DOC testing,No DOC testing,25,20/2/2014,,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
Ext Blank,NA,NaN,20/2/2014,,ext bnk 20022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 20022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
Ext Blank,NA,NaN,20/2/2014,,ext bnk 20022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 20022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
Ext Blank,NA,NaN,20/2/2014,,ext bnk 20022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 20022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,Filtering wasn't done until the 16th (same with the incubations that got extracted on the 14th),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3,A,21/2/2014,21/2/2014,,M3A_21022014,160.05,,130.9,small,156.96,128.49,28.47,0.221573663,extr M3A_21022014,NA,50,incub M3A_21022014,,NA,50,21/2/2014,,No DOC testing,No DOC testing,25,21/2/2014,,No extractions - just did gas and moisture measurements,
M3,B,21/2/2014,21/2/2014,,M3B_21022014,146.8,,119.4,small,143.71,116.99,26.72,0.228395589,extr M3B_21022014,NA,50,incub M3B_21022014,,NA,50,21/2/2014,,No DOC testing,No DOC testing,25,21/2/2014,,No extractions - just did gas and moisture measurements,
M3,C,21/2/2014,21/2/2014,,M3C_21022014,149.72,,118.2,small,146.63,115.79,30.84,0.266344244,extr M3C_21022014,NA,50,incub M3C_21022014,,NA,50,21/2/2014,,No DOC testing,No DOC testing,25,21/2/2014,,No extractions - just did gas and moisture measurements,
M3,D,21/2/2014,21/2/2014,,M3D_21022014,143.11,,117.6,small,140.02,115.19,24.83,0.215556906,extr M3D_21022014,NA,50,incub M3D_21022014,,NA,50,21/2/2014,,No DOC testing,No DOC testing,25,21/2/2014,,No extractions - just did gas and moisture measurements,
M3,E,21/2/2014,21/2/2014,,M3E_21022014,155.71,,126.8,small,152.62,124.39,28.23,0.226947504,extr M3E_21022014,NA,50,incub M3E_21022014,,NA,50,21/2/2014,,No DOC testing,No DOC testing,25,21/2/2014,,No extractions - just did gas and moisture measurements,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM,A,24/2/2014,24/2/2014,,SMA_24022014,153.74,,111.5,small,150.65,109.09,41.56,0.380969841,extr SMA_24022014,9.73,50,incub SMA_24022014,,10.01,50,24/2/2014,,No DOC testing,No DOC testing,25,24/2/2014,,,
SM,B,24/2/2014,24/2/2014,,SMB_24022014,159.47,,115.8,small,156.38,113.39,42.99,0.379133962,extr SMB_24022014,9.77,50,incub SMB_24022014,,9.87,50,24/2/2014,,No DOC testing,No DOC testing,25,24/2/2014,,,
SM,C,24/2/2014,24/2/2014,,SMC_24022014,135.05,,100,small,131.96,97.59,34.37,0.352187724,extr SMC_24022014,10.47,50,incub SMC_24022014,,9.64,50,24/2/2014,,No DOC testing,No DOC testing,25,24/2/2014,,,
SM,D,24/2/2014,24/2/2014,,SMD_24022014,181.9,,132.9,small,178.81,130.49,48.32,0.370296574,extr SMD_24022014,10.19,50,incub SMD_24022014,,9.84,50,24/2/2014,,No DOC testing,No DOC testing,25,24/2/2014,,,
SM,E,24/2/2014,24/2/2014,,SME_24022014,149.79,,107.5,small,146.7,105.09,41.61,0.395946332,extr SME_24022014,9.9,50,incub SME_24022014,,10.47,50,24/2/2014,,No DOC testing,No DOC testing,25,24/2/2014,,,
Ext Blank,NA,NaN,24/2/2014,,ext bnk 24022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 24022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
Ext Blank,NA,NaN,24/2/2014,,ext bnk 24022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 24022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
Ext Blank,NA,NaN,24/2/2014,,ext bnk 24022014,NA,,NA,NA,NA,NA,NA,NA,ext bnk 24022014,NA,50,NA,,NA,NA,NaN,NaN,NA,NA,NA,NaN,NaN,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3,A,25/2/2014,25/2/2014,,M3A_25022014,143.46,,118,small,140.37,115.59,24.78,0.214378406,extr M3A_25022014,10.21,50,incub M3A_25022014,,9.99,50,25/2/2014,,No DOC testing,No DOC testing,25,25/2/2014,,,
M3,B,25/2/2014,25/2/2014,,M3B_25022014,179.25,,147.5,small,176.16,145.09,31.07,0.214142946,extr M3B_25022014,9.83,50,incub M3B_25022014,,10.31,50,25/2/2014,,No DOC testing,No DOC testing,25,25/2/2014,,,
M3,C,25/2/2014,25/2/2014,,M3C_25022014,155.86,,125.4,small,152.77,122.99,29.78,0.242133507,extr M3C_25022014,10.33,50,incub M3C_25022014,,10.22,50,25/2/2014,,No DOC testing,No DOC testing,25,25/2/2014,,,
M3,D,25/2/2014,25/2/2014,,M3D_25022014,176.83,,145.3,small,173.74,142.89,30.85,0.215900343,extr M3D_25022014,9.75,50,incub M3D_25022014,,9.84,50,25/2/2014,,No DOC testing,No DOC testing,25,25/2/2014,,,
M3,E,25/2/2014,25/2/2014,,M3E_25022014,190.5,,159.4,small,187.41,156.99,30.42,0.193770304,extr M3E_25022014,10.15,50,incub M3E_25022014,,9.88,50,25/2/2014,,No DOC testing,No DOC testing,25,25/2/2014,,,
F2,A,25/2/2014,25/2/2014,,F2A_25022014,167.27,,130,small,164.18,127.59,36.59,0.286777961,extr F2A_25022014,10.43,50,incub F2A_25022014,,10.24,50,25/2/2014,,No DOC testing,No DOC testing,25,25/2/2014,,,
F2,B,25/2/2014,25/2/2014,,F2B_25022014,162.74,,126.7,small,159.65,124.29,35.36,0.284495937,extr F2B_25022014,9.8,50,incub F2B_25022014,,9.99,50,25/2/2014,,No DOC testing,No DOC testing,25,25/2/2014,,"I accidentally labeled the B and D bags as B, so this value and the D value should be merged",
