Amostra	percent_Carbono	percent_Nitrogenio	C_N_ratio
S1	1.518	0.1228	12.36
S1	1.507	0.1228	12.27
S2	1.004	0.0799	12.56
S2	1.031	0.0816	12.63
S3	2.398	0.1728	13.88
S3	2.365	0.1666	14.20
M1	1.631	0.1236	13.20
M1	1.602	0.1220	13.13
M2	1.862	0.1473	12.64
M2	1.849	0.1461	12.66
M3	1.418	0.1208	11.74
M3	1.437	0.1236	11.63
F1	1.296	0.0866	14.96
F1	1.287	0.0871	14.77
F2	3.136	0.1865	16.82
F2	3.101	0.1893	16.38
F3	2.032	0.1418	14.33
F3	2.066	0.1417	14.58
