"timezeroLabs","timezeroNinfo","timezeroCinfo","timezeroCHinfo","GCrun"
"SD-A-25-T0",0.25494228836211,393.599347992557,1.15959929387629,"20140418_M"
"SD-B-25-T0",0.291195825020785,457.466848670478,1.18647588559658,"20140418_M"
"SD-C-25-T0",0.250779292134054,320.179636998898,1.19792845388977,"20140418_M"
"SD-D-25-T0",0.249681605236253,436.534583150723,1.22061808515879,"20140418_M"
"SD-E-25-T0",0.254804144092659,411.100261741566,1.10510723506194,"20140418_M"
"SM-A-26-T0",0.254277702417183,335.391283370397,1.06782481516128,"20140418_M"
"SM-B-26-T0",0.2428714661152,416.262585170808,1.20248485202792,"20140418_M"
"SM-C-26-T0",0.259243428859617,309.888130982183,1.09781084074612,"20140418_M"
"SM-D-26-T0",0.280805135780714,432.718287756366,1.26879891682233,"20140418_M"
"SM-E-26-T0",0.234888967518264,387.279644396957,1.21523045222517,"20140418_M"
"S1-A-26-T0",0.244372384934642,328.824298109297,1.17810196469404,"20140418_M"
"S1-B-26-T0",0.251197458571312,386.484264194525,1.15224132661266,"20140418_M"
"S1-C-26-T0",0.246074919714905,387.595757041513,1.12681169916596,"20140418_M"
"S1-D-26-T0",0.264183019899723,354.610422300299,1.25482185766882,"20140418_M"
"S1-E-26-T0",0.237838534352492,437.911202731855,1.19946777758509,"20140418_M"
"M1-A-07-T0",0.248535381162698,491.573873440761,1.2148610145383,"20140418_M"
"M1-B-07-T0",0.288055843112449,677.906989423996,1.18647588559658,"20140418_M"
"M1-D-07-T0",0.26484760584465,390.175644108373,1.22597493161851,"20140418_M"
"F1-A-25-T0",0.266524005222585,385.696531878656,1.1798260072328,"20140418_M"
"F1-B-25-T0",0.259280765148658,509.378153356723,1.20017586648494,"20140418_M"
"F1-C-25-T0",0.291935083543794,494.253183032926,1.29973932309827,"20140418_M"
"F1-D-25-T0",0.260748081307964,393.499925467253,1.21797044840284,"20140418_M"
"time zero mean",0.258958315379669,415.378675241687,1.18901576969386,"20140418_M"
"time zero sd",0.0163493061182695,80.3176649615786,0.0553594813958423,"20140418_M"
"time zero CV",0.0631348952602628,0.193360106690229,0.0465590808859463,"20140418_M"
"time zero sd allow",2,2,2,"20140418_M"
"time zero upper limit",0.291656927616207,576.014005164844,1.29973473248555,"20140418_M"
"time zero lower limit",0.22625970314313,254.74334531853,1.07829680690218,"20140418_M"
