"Labels","ambNinfo","ambCinfo","ambCHinfo","GCrun"
"Amb1",19.6036,86.5286,11.7484,"20140312_Y"
"Amb2",19.7012,78.4528,11.7092,"20140312_Y"
"Amb3",19.5268,126.3428,12.4296,"20140312_Y"
"Amb4",19.012,55.8322,11.6664,"20140312_Y"
"Mean",19.4609,86.7891,11.8884,"20140312_Y"
"Std",0.307658576997294,29.3960688938731,0.362350695689503,"20140312_Y"
"Count",4,4,4,"20140312_Y"
"CV",0.0158090621192902,0.338706921651142,0.0304793492555351,"20140312_Y"
