"timezeroLabs","timezeroNinfo","timezeroCinfo","timezeroCHinfo","GCrun"
"SM-C-20-T0",0.329011964353498,449.809341943053,1.18711525170925,"20140310_U"
"SM-A-20-T0",0.34695959775041,363.988062758489,1.17175899214606,"20140310_U"
"SM-B-20-T0",0.371230125315774,436.364799392014,1.22209339849207,"20140310_U"
"M3-D-18-T0",0.359871746724301,433.153706883607,1.25569341941666,"20140310_U"
"M3-E-18-T0",0.371762846589746,461.761930213523,1.22124027296079,"20140310_U"
"M3-A-18-T0",0.385968747228997,450.311181110154,1.26684967636428,"20140310_U"
"M3-B-18-T0",0.371959446107521,358.237257167931,1.2402715348126,"20140310_U"
"M3-C-18-T0",0.365940964095624,534.993149753192,1.26264967374871,"20140310_U"
"M3-D-14-T0",0.364241329554856,458.245665238635,1.27255905491982,"20140310_U"
"M3-E-14-T0",0.365795099937274,511.264295081774,1.26990124076466,"20140310_U"
"M3-A-14-T0",0.342298286603155,430.190143153567,1.11814333375663,"20140310_U"
"M3-B-14-T0",0.317387225125039,434.53037378795,1.12398396239391,"20140310_U"
"M3-C-14-T0",0.324312601686674,448.937905010993,1.09432144392143,"20140310_U"
"SM-D-14-T0",0.355470454294104,421.919969311957,1.06794017749236,"20140310_U"
"SM-E-14-T0",0.375314321749559,510.016478774389,1.24191216083431,"20140310_U"
"SM-A-14-T0",0.37984245257832,559.135682656949,1.14839647759693,"20140310_U"
"SM-B-14-T0",0.412198928052187,595.424079726613,1.29021219091341,"20140310_U"
"SM-C-14-T0",0.408349382655747,705.917582812144,1.28745593919694,"20140310_U"
"SD-C-12-T0",0.393350742025465,528.204757776601,1.19485900653172,"20140310_U"
"SD-B-12-T0",0.394784015929247,541.255966926399,1.21329964301572,"20140310_U"
"SD-A-12-T0",0.399959022590689,573.305857517173,1.28949031546385,"20140310_U"
"SD-E-12-T0",0.421141035151001,483.683485722341,1.24978716573851,"20140310_U"
"SD-D-12-T0",0.39610313527432,545.090967588499,1.22632621362808,"20140310_U"
"time zero mean",0.371880585711892,488.510549578606,1.21375045851386,"20140310_U"
"time zero sd",0.027901777125056,78.8445230095826,0.0651917531313171,"20140310_U"
"time zero CV",0.0750288619440663,0.161397789827865,0.0537110018571193,"20140310_U"
"time zero sd allow",2,2,2,"20140310_U"
"time zero upper limit",0.427684139962004,646.199595597772,1.34413396477649,"20140310_U"
"time zero lower limit",0.31607703146178,330.821503559441,1.08336695225122,"20140310_U"
