"timezeroLabs","timezeroNinfo","timezeroCinfo","timezeroCHinfo","GCrun"
"F2-A-17-T0",0.180016463590876,271.408557999341,1.14296836692593,"20131107_Y"
"F2-B-17-T0",0.185987367356737,604.460697578482,1.19560678402979,"20131107_Y"
"F2-C-17-T0",0.189235689216782,483.065735870075,0.963026244615009,"20131107_Y"
"M1-D-17-T0",0.207354941210669,370.102715724446,1.24262391921425,"20131107_Y"
"M1-E-17-T0",0.210753474486207,344.652761261762,1.13392543514256,"20131107_Y"
"M1-A-17-T0",0.173585537365066,277.79161982437,1.16392597234279,"20131107_Y"
"M1-B-17-T0",0.176843247438579,335.625594790604,1.23755254530872,"20131107_Y"
"M1-C-17-T0",0.206697766267886,298.529414856806,1.16557569638435,"20131107_Y"
"F2-D-20-T0",0.161117989879117,377.559162385522,1.28823573391887,"20131107_Y"
"F2-E-20-T0",0.173350832028358,398.958878066854,1.31023205447301,"20131107_Y"
"F2-A-20-T0",0.163587090021289,328.433916389086,1.13365048113564,"20131107_Y"
"F2-B-20-T0",0.123339818882534,365.891469217687,1.29984490310022,"20131107_Y"
"F2-C-20-T0",0.126109341855693,257.010889398492,1.0953707732824,"20131107_Y"
"S1-D-20-T0",0.107764772738566,235.586128070986,1.10691884157332,"20131107_Y"
"S1-E-20-T0",0.16194415266433,297.216307407374,1.19826467276341,"20131107_Y"
"S1-C-20-T0",0.0721740554801056,207.180787359718,1.10221407301035,"20131107_Y"
"S1-B-20-T0",0.136211059547622,239.994161797687,1.20923228259527,"20131107_Y"
"S1-A-20-T0",0.141374576955207,261.20066820853,1.24451804681753,"20131107_Y"
"M1-E-20-T0",0.173369608455294,388.174938414031,1.19472082111858,"20131107_Y"
"M1-D-20-T0",0.152114693162983,406.934127398686,1.1287929603466,"20131107_Y"
"M1-C-20-T0",0.168055879632217,287.559421832401,1.1038332466067,"20131107_Y"
"M1-B-20-T0",0.120589072336312,264.825131004917,1.18030101097753,"20131107_Y"
"M1-A-20-T0",0.129057240884751,294.543579165616,1.15250010583272,"20131107_Y"
"time zero mean",0.158288463976399,330.291594087977,1.17364499876155,"20131107_Y"
"time zero sd",0.0345033734900917,89.4202953936359,0.0786460207781516,"20131107_Y"
"time zero CV",0.217977814828225,0.270731368869829,0.0670100591415126,"20131107_Y"
"time zero sd allow",2,2,2,"20131107_Y"
"time zero upper limit",0.227295210956583,509.132184875249,1.33093704031785,"20131107_Y"
"time zero lower limit",0.0892817169962156,151.451003300705,1.01635295720524,"20131107_Y"
