"timezeroLabs","timezeroNinfo","timezeroCinfo","timezeroCHinfo","GCrun"
"S1-A1-19-T0",0.173165004292323,400.48808663546,1.14287989129272,"20131107_X"
"S1-A2-19-T0",0.186206352637463,352.896920578394,1.15979960891328,"20131107_X"
"S1-B1-19-T0",0.142262338111502,380.072888351294,1.25122376491986,"20131107_X"
"S3-D-18-T0",0.146369108864418,325.128485700419,1.31922308459947,"20131107_X"
"S3-E-18-T0",0.146243711284177,436.625811507065,1.20238730724232,"20131107_X"
"S3-A-18-T0",0.116626370300833,402.298710405171,1.1129819811791,"20131107_X"
"S3-B-18-T0",0.130639549892847,412.492466857883,1.32012034235208,"20131107_X"
"S3-C-18-T0",0.141627512861528,321.019975495144,1.34376949311719,"20131107_X"
"M3-D-18-T0",0.0905515109593188,194.979520235457,1.06722183579621,"20131107_X"
"M3-E-18-T0",0.109494382924585,271.612648592619,1.11990368384206,"20131107_X"
"M3-A-18-T0",0.0927224565672538,178.559322103726,1.14169422926249,"20131107_X"
"M3-B-18-T0",0.129726498761711,384.336436677524,1.35655541609182,"20131107_X"
"M3-C-18-T0",0.136807543370987,400.000823969605,1.24045667188859,"20131107_X"
"S2-D-18-T0",0.110881593656009,226.895224848946,1.0447263021416,"20131107_X"
"S2-E-18-T0",0.127528122433099,238.855308465381,1.03427965830769,"20131107_X"
"S2-A-18-T0",0.12002777966489,227.125013492502,1.11535330523956,"20131107_X"
"S2-B-18-T0",0.125169080454801,277.631449931075,1.09029417800607,"20131107_X"
"S2-C-18-T0",0.122139945157087,218.550851696183,1.14220694797826,"20131107_X"
"M2-D-18-T0",0.149621608601938,279.408851246295,1.15290995117006,"20131107_X"
"M2-E-18-T0",0.129318956625926,261.169723731231,1.33402783751747,"20131107_X"
"M2-A-18-T0",0.140459747895527,315.217120110873,1.142238992898,"20131107_X"
"M2-B-18-T0",0.130725760729263,339.475048964394,1.44419827156956,"20131107_X"
"M2-C-18-T0",0.137407100551517,280.344617047766,1.3546647658274,"20131107_X"
"time zero mean",0.131987914634739,309.790665506279,1.20143989222404,"20131107_X"
"time zero sd",0.0217916434666083,76.6616439722696,0.116603786594015,"20131107_X"
"time zero CV",0.165103324246876,0.247462730508631,0.0970533668381566,"20131107_X"
"time zero sd allow",2,2,2,"20131107_X"
"time zero upper limit",0.175571201567956,463.113953450818,1.43464746541207,"20131107_X"
"time zero lower limit",0.0884046277015226,156.467377561739,0.968232319036008,"20131107_X"
