"timezeroLabs","timezeroNinfo","timezeroCinfo","timezeroCHinfo","GCrun"
"S1-C-13-T0",0.262449662163271,596.445355243826,1.29167577077839,"20141201_Jankowski"
"S1-D-13-T0",0.302983194423654,697.856499723501,1.30532288920921,"20141201_Jankowski"
"S1-E-13-T0",0.256568945214102,651.779578334211,1.3568109002722,"20141201_Jankowski"
"S3-A-14-T0",0.299717225782421,684.629940483553,1.24765936645405,"20141201_Jankowski"
"S3-B-14-T0",0.319120631622255,693.816305006862,1.34423115423263,"20141201_Jankowski"
"S3-C-14-T0",0.293767440010023,684.971728703795,1.27973136544788,"20141201_Jankowski"
"S3-D-14-T0",0.283545254172205,694.864240587794,1.36499408860502,"20141201_Jankowski"
"S3-E-14-T0",0.30331867156505,717.21267600761,1.24798974362277,"20141201_Jankowski"
"F3-A-14-T0",0.324088653407334,717.344877111666,1.2968601509644,"20141201_Jankowski"
"F3-B-14-T0",0.323595304669988,816.943899140622,1.34850064379757,"20141201_Jankowski"
"F3-C-14-T0",0.304512575509428,672.286871548759,1.29121832546786,"20141201_Jankowski"
"F3-D-14-T0",0.297418220666386,806.055042350444,1.24272912255167,"20141201_Jankowski"
"F3-E-14-T0",0.354478935627874,830.773424391753,1.4072061253156,"20141201_Jankowski"
"time zero mean",0.301966516525692,712.690802971877,1.30960997282456,"20141201_Jankowski"
"time zero sd",0.0259377314306569,67.6243978359787,0.051131352280216,"20141201_Jankowski"
"time zero CV",0.0858960514201584,0.0948860256846154,0.0390431909814616,"20141201_Jankowski"
"time zero sd allow",2,2,2,"20141201_Jankowski"
"time zero upper limit",0.353841979387005,847.939598643834,1.41187267738499,"20141201_Jankowski"
"time zero lower limit",0.250091053664378,577.442007299919,1.20734726826413,"20141201_Jankowski"
