"Labels","ambNinfo","ambCinfo","ambCHinfo","GCrun"
"Amb1",17.5912,55.0228,10.8,"20140310_U"
"Amb2",17.8588,55.35,11.4334,"20140310_U"
"Amb3",17.2584,56.2944,11.1772,"20140310_U"
"Amb4",17.5822,56.1692,11.1096,"20140310_U"
"Mean",17.57265,55.7091,11.13005,"20140310_U"
"Std",0.245676067210462,0.62027644374639,0.260509468797841,"20140310_U"
"Count",4,4,4,"20140310_U"
"CV",0.0139805929788883,0.0111342032764196,0.0234059567385448,"20140310_U"
