"timezeroLabs","timezeroNinfo","timezeroCinfo","timezeroCHinfo","GCrun"
"F2-D-25-T0",0.351082353524557,630.276177122875,1.27697551977265,"20140310_H"
"F2-E-25-T0",0.363300546011527,590.295048772248,1.22577599378995,"20140310_H"
"time zero mean",0.357191449768042,610.285612947562,1.2513757567813,"20140310_H"
"time zero sd",0.00863956676137877,28.2709269762179,0.036203532015907,"20140310_H"
"time zero CV",0.0241874959968646,0.0463240921569079,0.0289309840147672,"20140310_H"
"time zero sd allow",2,2,2,"20140310_H"
"time zero upper limit",0.374470583290799,666.827466899998,1.32378282081312,"20140310_H"
"time zero lower limit",0.339912316245284,553.743758995126,1.17896869274949,"20140310_H"
