"Labels","ambNinfo","ambCinfo","ambCHinfo","GCrun"
"Amb1",35.4904,49.161,9.4544,"20140310_H"
"Amb2",35.0648,49.0688,9.7122,"20140310_H"
"Amb3",35.4028,43.592,9.1068,"20140310_H"
"Amb4",36.1832,45.9764,9.4552,"20140310_H"
"Mean",35.5353,46.94955,9.43215,"20140310_H"
"Std",0.469296253270079,2.68339924908688,0.2485336932222,"20140310_H"
"Count",4,4,4,"20140310_H"
"CV",0.0132064806901892,0.0571549514124603,0.0263496332460998,"20140310_H"
