"Labels","ambNinfo","ambCinfo","ambCHinfo","GCrun"
"Amb1",10.5608,54.2106,12.14,"20140418_P"
"Amb2",10.6998,63.4356,12.0144,"20140418_P"
"Amb3",10.7476,64.2744,12.5016,"20140418_P"
"Amb4",10.8536,64.1912,12.4904,"20140418_P"
"Mean",10.71545,61.52795,12.2866,"20140418_P"
"Std",0.121491549774734,4.89280518414539,0.247213699728258,"20140418_P"
"Count",4,4,4,"20140418_P"
"CV",0.0113379792518965,0.0795216675371988,0.0201205947722118,"20140418_P"
