"Labels","ambNinfo","ambCinfo","GCrun"
"Amb4",19.4592,52.1436,"20140313_Z"
"Mean",19.6126,61.6745,"20140313_Z"
"Std",0.129402009257971,8.60343105123377,"20140313_Z"
"Count",4,4,"20140313_Z"
"CV",0.0065979018211747,0.139497378190886,"20140313_Z"
"Amb1",18.5364,55.9144,"20140416_J"
"Amb2",18.2968,71.6216,"20140416_J"
"Amb3",17.8404,78.8108,"20140416_J"
"Amb4",18.2598,70.7536,"20140416_J"
"Mean",18.23335,69.2751,"20140416_J"
"Std",0.289237220979597,9.61127642372923,"20140416_J"
"Count",4,4,"20140416_J"
"CV",0.0158630871989841,0.138740708042705,"20140416_J"
"Amb1",37.966,70.4474,"20140416_V"
"Amb2",38.1792,80.5452,"20140416_V"
"Amb3",38.386,93.46,"20140416_V"
"Amb4",39.0356,64.8856,"20140416_V"
"Mean",38.3917,77.33455,"20140416_V"
"Std",0.462246846032147,12.5531882052595,"20140416_V"
"Count",4,4,"20140416_V"
"CV",0.012040280738601,0.162323155759741,"20140416_V"
"Amb1",10.047,74.0136,"20140417_K"
"Amb2",9.6962,66.4496,"20140417_K"
"Amb3",9.944,83.5576,"20140417_K"
"Amb4",10.1698,74.122,"20140417_K"
"Mean",9.96425,74.5357,"20140417_K"
"Std",0.201129502228457,7.00531771632569,"20140417_K"
"Count",4,4,"20140417_K"
"CV",0.0201851119982394,0.0939860726648531,"20140417_K"
"Amb1",23.66,80.9084,"20140417_N"
"Amb2",24.1976,69.9236,"20140417_N"
"Amb3",25.0636,67.196,"20140417_N"
"Amb4",24.2804,68.1576,"20140417_N"
"Mean",24.3004,71.5464,"20140417_N"
"Std",0.578375379835622,6.34272468896452,"20140417_N"
"Count",4,4,"20140417_N"
"CV",0.0238010641732491,0.0886519054622527,"20140417_N"
"Amb1",24.233,81.4846,"20140418_M"
"Amb2",26.0952,72.1364,"20140418_M"
"Amb3",26.2412,62.1116,"20140418_M"
"Amb4",26.9564,65.2202,"20140418_M"
"Mean",25.88145,70.2382,"20140418_M"
"Std",1.16161009379223,8.58888094689873,"20140418_M"
"Count",4,4,"20140418_M"
"CV",0.0448819557556563,0.122282190416308,"20140418_M"
"Amb1",10.5608,54.2106,"20140418_P"
"Amb2",10.6998,63.4356,"20140418_P"
"Amb3",10.7476,64.2744,"20140418_P"
"Amb4",10.8536,64.1912,"20140418_P"
"Mean",10.71545,61.52795,"20140418_P"
"Std",0.121491549774734,4.89280518414539,"20140418_P"
"Count",4,4,"20140418_P"
"CV",0.0113379792518965,0.0795216675371988,"20140418_P"
"Amb1",10.3176,46.5748,"20140605_Trav"
"Amb2",9.036,47.624,"20140605_Trav"
"Amb3",9.5964,47.1424,"20140605_Trav"
"Amb4",9.0236,45.8152,"20140605_Trav"
"Mean",9.4934,46.7891,"20140605_Trav"
"Std",0.610966840344057,0.778092668002985,"20140605_Trav"
"Count",4,4,"20140605_Trav"
"CV",0.0643570101695975,0.0166297848858598,"20140605_Trav"
"Amb1",9.1268,45.8596,"20140606_Leak0"
"Amb2",8.9736,46.0942,"20140606_Leak0"
"Amb3",8.8656,45.6192,"20140606_Leak0"
"Amb4",9.1916,45.6112,"20140606_Leak0"
