"Labels","ambNinfo","ambCinfo","ambCHinfo","GCrun"
"Amb1",24.4106,58.9332,9.7428,"20141201_Jankowski"
"Amb2",24.4372,58.1544,10.1548,"20141201_Jankowski"
"Amb3",25.434,57.3516,10.356,"20141201_Jankowski"
"Amb4",25.3984,58.6252,9.9764,"20141201_Jankowski"
"Mean",24.92005,58.2661,10.0575,"20141201_Jankowski"
"Std",0.573191867237025,0.688661106786205,0.260884929933997,"20141201_Jankowski"
"Count",4,4,4,"20141201_Jankowski"
"CV",0.0230012326314363,0.0118192414935306,0.0259393417781752,"20141201_Jankowski"
