"Labels","ambNinfo","ambCinfo","ambCHinfo","GCrun"
"Amb1",10.3176,46.5748,11.8768,"20140605_Trav"
"Amb2",9.036,47.624,11.3536,"20140605_Trav"
"Amb3",9.5964,47.1424,10.832,"20140605_Trav"
"Amb4",9.0236,45.8152,11.9036,"20140605_Trav"
"Mean",9.4934,46.7891,11.4915,"20140605_Trav"
"Std",0.610966840344057,0.778092668002985,0.507358899925224,"20140605_Trav"
"Count",4,4,4,"20140605_Trav"
"CV",0.0643570101695975,0.0166297848858598,0.0441507984097136,"20140605_Trav"
