"Labels","ambNinfo","ambCinfo","ambCHinfo","GCrun"
"Amb1",27.5396,78.1234,14.1632,"20131108_Z"
"Amb2",27.4938,80.1592,14.5946,"20131108_Z"
"Amb3",26.9764,78.943,12.9478,"20131108_Z"
"Amb4",27.6272,81.0882,14.4004,"20131108_Z"
"Mean",27.40925,79.57845,14.0265,"20131108_Z"
"Std",0.293825997261417,1.30863578202646,0.740454680134667,"20131108_Z"
"Count",4,4,4,"20131108_Z"
"CV",0.0107199575786064,0.0164446000396647,0.052789696655236,"20131108_Z"
