Site	LUtype	Chamber	SampleDate	Season	StartTime	RowInter	AirTmpStart	AirTmpEnd	SoilTmpEnd	SoilMoisPercent	DOC	NFert	FertDateMaizePlanting	FertTimeElapsedMaizePlanting	FertDateMaizeBroadcast	FertTimeElapsedMaizeBroadcast		
F2	F	C	2013.06.27	Dry	11:10	NA	34.0	33.0	24.0	0.184320267	NA	N	NA	NA	NA	NA		
F2	F	D	2013.06.27	Dry	11:10	NA	34.0	33.0	23.0	0.204357818	NA	N	NA	NA	NA	NA		
F2	F	E	2013.06.27	Dry	11:10	NA	34.0	33.0	24.0	0.196215604	NA	N	NA	NA	NA	NA		
F2	F	A	2013.07.04	Dry	14:10	NA	30.0	27.0	31.0	0.163114669	NA	N	NA	NA	NA	NA		
F2	F	B	2013.07.04	Dry	14:10	NA	30.0	27.0	25.0	0.163684258	NA	N	NA	NA	NA	NA		
F2	F	C	2013.07.04	Dry	14:10	NA	30.0	27.0	30.0	0.166321805	NA	N	NA	NA	NA	NA		
F2	F	D	2013.07.04	Dry	14:10	NA	30.0	27.0	22.0	0.163897203	NA	N	NA	NA	NA	NA		
F2	F	E	2013.07.04	Dry	14:10	NA	30.0	27.0	24.0	0.151080748	NA	N	NA	NA	NA	NA		
F2	F	A	2013.07.17	Dry	13:30	NA	31.0	29.0	21.0	0.193214286	NA	N	NA	NA	NA	NA		
F2	F	B	2013.07.17	Dry	13:30	NA	31.0	29.0	25.0	0.182928803	NA	N	NA	NA	NA	NA		
F2	F	C	2013.07.17	Dry	13:30	NA	31.0	29.0	25.0	0.171877337	NA	N	NA	NA	NA	NA		
F2	F	D	2013.07.17	Dry	13:30	NA	31.0	29.0	25.0	0.171192341	NA	N	NA	NA	NA	NA		
F2	F	E	2013.07.17	Dry	13:30	NA	31.0	29.0	22.0	0.194285714	NA	N	NA	NA	NA	NA		
F2	F	A1	2013.07.19	Dry	11:20	NA	31.5	28.0	24.0	0.176887872	NA	N	NA	NA	NA	NA		
F2	F	A2	2013.07.19	Dry	11:20	NA	31.5	28.0	24.0	0.178008299	NA	N	NA	NA	NA	NA		
F2	F	B1	2013.07.19	Dry	11:20	NA	31.5	28.0	23.0	0.177681339	NA	N	NA	NA	NA	NA		
F2	F	B2	2013.07.19	Dry	11:20	NA	31.5	28.0	23.0	0.166604478	NA	N	NA	NA	NA	NA		
F2	F	C1	2013.07.19	Dry	11:20	NA	31.5	28.0	25.0	0.174042829	NA	N	NA	NA	NA	NA		
F2	F	C2	2013.07.19	Dry	11:20	NA	31.5	28.0	25.0	0.156457304	NA	N	NA	NA	NA	NA		
F2	F	A	2013.12.18	Wet	10:45	NA	26.5	26.0	25.0	0.25914336	NA	N	NA	NA	NA	NA		
F2	F	B	2013.12.18	Wet	10:45	NA	26.5	26.0	25.0	0.278127566	NA	N	NA	NA	NA	NA		
F2	F	C	2013.12.18	Wet	10:45	NA	26.5	26.0	25.0	0.300836786	NA	N	NA	NA	NA	NA		
F2	F	D	2013.12.18	Wet	10:45	NA	26.5	26.0	25.0	0.265810537	NA	N	NA	NA	NA	NA		
F2	F	E	2013.12.18	Wet	10:45	NA	26.5	26.0	25.0	0.208935611	NA	N	NA	NA	NA	NA		
F2	F	A	2014.02.05	Wet	13:30	F	31.7	29.7	28.0	0.222377996	NA	N	NA	NA	NA	NA		
F2	F	B	2014.02.05	Wet	13:30	F	31.7	29.7	25.0	0.210658585	NA	N	NA	NA	NA	NA		
F2	F	C	2014.02.05	Wet	13:30	F	31.7	29.7	25.0	0.254455156	NA	N	NA	NA	NA	NA		
F2	F	D	2014.02.05	Wet	13:30	F	31.7	29.7	24.0	0.205334675	NA	N	NA	NA	NA	NA		
F2	F	E	2014.02.05	Wet	13:30	F	31.7	29.7	24.0	0.210478897	NA	N	NA	NA	NA	NA		
F2	F	A	2014.02.12	Wet	10:00	F	23.7	24.3	25.0	0.273828529	NA	N	NA	NA	NA	NA		
F2	F	B	2014.02.12	Wet	10:00	F	23.7	24.3	24.0	0.262094357	NA	N	NA	NA	NA	NA		
F2	F	C	2014.02.12	Wet	10:00	F	23.7	24.3	24.0	0.269275639	NA	N	NA	NA	NA	NA		
F2	F	D	2014.02.12	Wet	10:00	F	23.7	24.3	23.0	0.255530512	NA	N	NA	NA	NA	NA		
F2	F	E	2014.02.12	Wet	10:00	F	23.7	24.3	25.0	0.26011842	NA	N	NA	NA	NA	NA		
F2	F	A	2014.02.20	Wet	9:35	F	26.5	25.5	24.0	0.494417406	NA	N	NA	NA	NA	NA		
F2	F	B	2014.02.20	Wet	9:35	F	26.5	25.5	24.0	0.390472354	NA	N	NA	NA	NA	NA		
F2	F	C	2014.02.20	Wet	9:35	F	26.5	25.5	24.0	0.172361917	NA	N	NA	NA	NA	NA		
F2	F	D	2014.02.20	Wet	9:35	F	26.5	25.5	24.0	0.594170603	NA	N	NA	NA	NA	NA		
F2	F	E	2014.02.20	Wet	9:35	F	26.5	25.5	25.0	0.437277444	NA	N	NA	NA	NA	NA		
F2	F	A	2014.02.25	Wet	9:40	F	24.0	24.0	24.0	0.286777961	NA	N	NA	NA	NA	NA		
F2	F	B	2014.02.25	Wet	9:40	F	24.0	24.0	23.0	0.284495937	NA	N	NA	NA	NA	NA		
F2	F	C	2014.02.25	Wet	9:40	F	24.0	24.0	24.0	0.366031829	NA	N	NA	NA	NA	NA		
F2	F	D	2014.02.25	Wet	9:40	F	24.0	24.0	24.0	0.315798448	NA	N	NA	NA	NA	NA		
F2	F	E	2014.02.25	Wet	9:40	F	24.0	24.0	24.0	0.397903899	NA	N	NA	NA	NA	NA		
F2	F	A	2014.03.06	Wet	15:15	F	32.0	28.0	25.0	0.206234512	NA	N	NA	NA	NA	NA		
F2	F	B	2014.03.06	Wet	15:15	F	32.0	28.0	26.0	0.246179909	NA	N	NA	NA	NA	NA		
F2	F	C	2014.03.06	Wet	15:15	F	32.0	28.0	25.0	0.299057592	NA	N	NA	NA	NA	NA		
F2	F	D	2014.03.06	Wet	15:15	F	32.0	28.0	25.0	0.202900215	NA	N	NA	NA	NA	NA		
F2	F	E	2014.03.06	Wet	15:15	F	32.0	28.0	25.0	0.23287792	NA	N	NA	NA	NA	NA		
F2	F	A	2014.03.11	Wet	13:55	F	28.0	29.0	26.0	NA	NA	N	NA	NA	NA	NA		
F2	F	B	2014.03.11	Wet	13:55	F	28.0	29.0	26.0	NA	NA	N	NA	NA	NA	NA		
F2	F	C	2014.03.11	Wet	13:55	F	28.0	29.0	25.0	NA	NA	N	NA	NA	NA	NA		
F2	F	D	2014.03.11	Wet	13:55	F	28.0	29.0	25.0	NA	NA	N	NA	NA	NA	NA		
F2	F	E	2014.03.11	Wet	13:55	F	28.0	29.0	25.0	NA	NA	N	NA	NA	NA	NA		
F2	F	A	2014.03.20	Wet	10:25	F	36.5	29.5	25.0	0.207754761	NA	N	NA	NA	NA	NA		
F2	F	B	2014.03.20	Wet	10:25	F	36.5	29.5	25.0	0.197259433	NA	N	NA	NA	NA	NA		
F2	F	C	2014.03.20	Wet	10:25	F	36.5	29.5	25.0	0.221475077	NA	N	NA	NA	NA	NA		
F2	F	D	2014.03.20	Wet	10:25	F	36.5	29.5	24.0	0.234729126	NA	N	NA	NA	NA	NA		
