"","LUtype","GasType","estmid","estlow","esthigh"
"1","F","CH4",-6.47362010103746,-46.2555740851253,33.3083338830504
"2","F","CO2",86789.453855016,57849.1780420552,115729.729667977
"3","F","N2O",7508.04905819061,-4575.72403007461,19591.8221464558
"4","S","CH4",-2.07636543862384,-37.0402807186558,32.8875498414081
"5","S","CO2",122504.358686511,10733.2517872792,234275.465585743
"6","S","N2O",4497.94181825381,-4091.23805297367,13087.1216894813
"7","M","CH4",-5.84249330605751,-20.8019662511011,9.11697963898612
"8","M","CO2",95820.3822760456,28178.8498621193,163461.914689972
"9","M","N2O",5135.43369258829,-14122.2902356016,24393.1576207781
