GCRun	RunOrder	Pressure	SampleDate	SampleName	Site	LUtype	Chamber	TimePt	TimePtSq
20131104_AA	83	Y	2013.07.23	F3-D-23-T0	F3	F	D	0	0
20131104_AA	84	Y	2013.07.23	F3-D-23-T10	F3	F	D	10	100
20131104_AA	85	Y	2013.07.23	F3-D-23-T20	F3	F	D	20	400
20131104_AA	86	Y	2013.07.23	F3-D-23-T30	F3	F	D	30	900
20131104_AA	87	Y	2013.07.23	F3-E-23-T0	F3	F	E	0	0
20131104_AA	88	Y	2013.07.23	F3-E-23-T10	F3	F	E	10	100
20131104_AA	89	Y	2013.07.23	F3-E-23-T20	F3	F	E	20	400
20131104_AA	90	Y	2013.07.23	F3-E-23-T30	F3	F	E	30	900
20131104_AA	91	Y	2013.07.24	M3-A-24-T0	M3	M	A	0	0
20131104_AA	92	Y	2013.07.24	M3-A-24-T10	M3	M	A	10	100
20131104_AA	93	Y	2013.07.24	M3-A-24-T20	M3	M	A	20	400
20131104_AA	94	Y	2013.07.24	M3-A-24-T30	M3	M	A	30	900
20131104_AA	95	Y	2013.07.24	M3-B-24-T0	M3	M	B	0	0
20131104_AA	96	Y	2013.07.24	M3-B-24-T10	M3	M	B	10	100
20131104_AA	97	Y	2013.07.24	M3-B-24-T20	M3	M	B	20	400
20131104_AA	98	Y	2013.07.24	M3-B-24-T30	M3	M	B	30	900
20131104_AA	99	Y	2013.07.24	M3-C-24-T0	M3	M	C	0	0
20131104_AA	100	Y	2013.07.24	M3-C-24-T10	M3	M	C	10	100
20131104_AA	101	Y	2013.07.24	M3-C-24-T20	M3	M	C	20	400
20131104_AA	102	Y	2013.07.24	M3-C-24-T30	M3	M	C	30	900
20131104_AA	103	Y	2013.07.24	M3-D-24-T0	M3	M	D	0	0
20131104_AA	104	Y	2013.07.24	M3-D-24-T10	M3	M	D	10	100
20131104_AA	105	Y	2013.07.24	M3-D-24-T20	M3	M	D	20	400
20131104_AA	106	Y	2013.07.24	M3-D-24-T30	M3	M	D	30	900
20131104_AA	107	Y	2013.07.24	M3-E-24-T0	M3	M	E	0	0
20131104_AA	108	Y	2013.07.24	M3-E-24-T10	M3	M	E	10	100
20131104_AA	109	Y	2013.07.24	M3-E-24-T20	M3	M	E	20	400
20131104_AA	110	Y	2013.07.24	M3-E-24-T30	M3	M	E	30	900
20131104_AA	111	Y	2013.07.24	S2-A-24-T0	S2	S	A	0	0
20131104_AA	112	Y	2013.07.24	S2-A-24-T10	S2	S	A	10	100
20131104_AA	113	Y	2013.07.24	S2-A-24-T20	S2	S	A	20	400
20131104_AA	114	Y	2013.07.24	S2-A-24-T30	S2	S	A	30	900
20131104_AA	115	Y	2013.07.24	S2-B-24-T0	S2	S	B	0	0
20131104_AA	116	Y	2013.07.24	S2-B-24-T10	S2	S	B	10	100
20131104_AA	117	Y	2013.07.24	S2-B-24-T20	S2	S	B	20	400
20131104_AA	118	Y	2013.07.24	S2-B-24-T30	S2	S	B	30	900
20131104_AA	119	Y	2013.07.24	S2-C-24-T0	S2	S	C	0	0
20131104_AA	120	Y	2013.07.24	S2-C-24-T10	S2	S	C	10	100
20131104_AA	121	Y	2013.07.24	S2-C-24-T20	S2	S	C	20	400
20131104_AA	122	Y	2013.07.24	S2-C-24-T30	S2	S	C	30	900
20131104_AA	123	Y	2013.07.24	S2-D-24-T0	S2	S	D	0	0
20131104_AA	124	Y	2013.07.24	S2-D-24-T10	S2	S	D	10	100
20131104_AA	125	Y	2013.07.24	S2-D-24-T20	S2	S	D	20	400
20131104_AA	126	Y	2013.07.24	S2-D-24-T30	S2	S	D	30	900
20131104_AA	127	Y	2013.07.24	S2-E-24-T0	S2	S	E	0	0
20131104_AA	128	Y	2013.07.24	S2-E-24-T10	S2	S	E	10	100
20131104_AA	129	Y	2013.07.24	S2-E-24-T20	S2	S	E	20	400
20131104_AA	130	Y	2013.07.24	S2-E-24-T30	S2	S	E	30	900
