"sampleID","nitrppm","ammppm","extinc","date","Site","LUtype","Chamber","test2448","acidwashed"
"incub S2B_25032014","0.34475","0.2005296","inc",2014-03-25,"S2","S","B","24","NA"
"incub S2C_25032014","0.4746","0.205242","inc",2014-03-25,"S2","S","C","24","NA"
"incub S2D_25032014","0.45605","0.2198456","inc",2014-03-25,"S2","S","D","24","NA"
"incub S2E_25032014","0.49315","0.2116748","inc",2014-03-25,"S2","S","E","24","NA"
"incub F148A_25032014","0.969143","0.3922508","inc",2014-03-25,"F1","F","A","48","NA"
"incub F148B_25032014","1.129786","0.5388676","inc",2014-03-25,"F1","F","B","48","NA"
"incub F148C_25032014","0.7343","0.3176356","inc",2014-03-25,"F1","F","C","48","NA"
"incub F148D_25032014","0.8085","0.385686","inc",2014-03-25,"F1","F","D","48","NA"
"incub S248A_25032014","0.486843","0.3885504","inc",2014-03-25,"S2","S","A","48","NA"
"incub S248B_25032014","0.3262","0.2978092","inc",2014-03-25,"S2","S","B","48","NA"
"incub S248C_25032014","1.16895","0.2902896","inc",2014-03-25,"S2","S","C","48","NA"
"incub S248D_25032014","1.16895","0.33348","inc",2014-03-25,"S2","S","D","48","NA"
"incub S248E_25032014","1.2089","0.2997804","inc",2014-03-25,"S2","S","E","48","NA"
"incub S3A_26032014","0.68955","0.2362312","inc",2014-03-26,"S3","S","A","NA","NA"
"incub S3B_26032014","0.7295","0.2230136","inc",2014-03-26,"S3","S","B","NA","NA"
"incub S3C_26032014","1.0491","0.255446","inc",2014-03-26,"S3","S","C","NA","NA"
"incub S3D_26032014",NA,"0.2432624","inc",2014-03-26,"S3","S","D","NA","NA"
"incub S3E_26032014","1.3687","0.2550808","inc",2014-03-26,"S3","S","E","NA","NA"
"incub S1A_26032014","0.29005","0.1887024","inc",2014-03-26,"S1","S","A","NA","NA"
"incub S1B_26032014","1.16895","0.2480408","inc",2014-03-26,"S1","S","B","NA","NA"
"incub S1C_26032014","1.3687","0.256106","inc",2014-03-26,"S1","S","C","NA","NA"
"incub S1D_26032014","1.6084","0.236988","inc",2014-03-26,"S1","S","D","NA","NA"
"incub S1E_26032014","0.8094","0.2433284","inc",2014-03-26,"S1","S","E","NA","NA"
"incub M2A_02042014","4.44485","0.2118728","inc",2014-04-02,"M2","M","A","NA","NA"
"incub M2B_02042014","8.20015","0.0964432","inc",2014-04-02,"M2","M","B","NA","NA"
"incub M2C_02042014","8.30085","0.2592212","inc",2014-04-02,"M2","M","C","NA","NA"
"incub M2D_02042014","NA","0.557726","inc",2014-04-02,"M2","M","D","NA","NA"
"incub M2E_02042014","5.72325","0.2104428","inc",2014-04-02,"M2","M","E","NA","NA"
"incub M3A_02042014","0.52975","0.2629656","inc",2014-04-02,"M3","M","A","NA","NA"
"incub M3B_02042014","0.4898","0.1867312","inc",2014-04-02,"M3","M","B","NA","NA"
"incub M3C_02042014","0.6496","0.246756","inc",2014-04-02,"M3","M","C","NA","NA"
"incub M3D_02042014","0.6496","0.2353292","inc",2014-04-02,"M3","M","D","NA","NA"
"incub M3E_02042014","0.29005","0.25065","inc",2014-04-02,"M3","M","E","NA","NA"
"incub F3A_02042014","1.08905","0.213646","inc",2014-04-02,"F3","F","A","NA","NA"
"incub F3B_02042014","1.00915","0.2201668","inc",2014-04-02,"F3","F","B","NA","NA"
"incub F3C_02042014","1.24885","0.2197048","inc",2014-04-02,"F3","F","C","NA","NA"
"incub F3D_02042014","0.9692","0.2118464","inc",2014-04-02,"F3","F","D","NA","NA"
"incub F2A_03042014","0.84935","0.2479352","inc",2014-04-03,"F2","F","A","NA","NA"
"incub F2B_03042014","0.9692","0.2692928","inc",2014-04-03,"F2","F","B","NA","NA"
"incub F2C_03042014","0.8893","0.2459816","inc",2014-04-03,"F2","F","C","NA","NA"
"incub F2D_03042014","1.0491","0.2884416","inc",2014-04-03,"F2","F","D","NA","NA"
"bnk I 18-02-14","-0.469","0.106022","bnk",2014-02-18,"NA","NA","NA","NA","NA"
"bnk II 18-02-14","-0.469","0.1103648","bnk",2014-02-18,"NA","NA","NA","NA","NA"
"bnk III 18-02-14","-0.469","0.1079316","bnk",2014-02-18,"NA","NA","NA","NA","NA"
"bnk I 22-02-14","-0.469","0.0772416","bnk",2014-02-22,"NA","NA","NA","NA","NA"
"bnk II 22-02-14","-0.469","0.1057624","bnk",2014-02-22,"NA","NA","NA","NA","NA"
"bnk I 28-02-14","-0.469","0.115174","bnk",2014-02-28,"NA","NA","NA","NA","NA"
"bnk II 28-02-14","-0.26925","0.1123052","bnk",2014-02-28,"NA","NA","NA","NA","NA"
"bnk III 28-02-14","-0.469","0.1130664","bnk",2014-02-28,"NA","NA","NA","NA","NA"
"bnk I 05-03-14","-0.469","0.1158428","bnk",2014-03-05,"NA","NA","NA","NA","NA"
"bnk II 05-03-14","-0.469","0.1112668","bnk",2014-03-05,"NA","NA","NA","NA","NA"
"bnk II 05-03-14","-0.469","0.1254524","bnk",2014-03-05,"NA","NA","NA","NA","NA"
"bnk III 05-03-14","-0.469","0.115768","bnk",2014-03-05,"NA","NA","NA","NA","NA"
"bnk I 19-03-14","0.1297","0.141","bnk",2014-03-19,"NA","NA","NA","NA","NA"
"bnk II 19-03-14","0.09505","0.168","bnk",2014-03-19,"NA","NA","NA","NA","NA"
"bnk III 19-03-14","-0.0089","0.135","bnk",2014-03-19,"NA","NA","NA","NA","NA"
"bnk III 04-03-14","-0.0089","0.112","bnk",2014-03-04,"NA","NA","NA","NA","NA"
"bnk I 07-04-14","-0.0089","0.103","bnk",2014-04-07,"NA","NA","NA","NA","NA"
"bnk II 07-04-14","-0.0089","0.11","bnk",2014-04-07,"NA","NA","NA","NA","NA"
"bnk III 07-04-14","-0.0089","0.108","bnk",2014-04-07,"NA","NA","NA","NA","NA"
"inc M2A_06-02-14","0.6841","0.192","inc",2014-02-06,"M2","M","A","NA","NA"
"inc M2B_06-02-14","0.7534","0.206","inc",2014-02-06,"M2","M","B","NA","NA"
"inc M2C_06-02-14","0.7534","0.236","inc",2014-02-06,"M2","M","C","NA","NA"
"inc M2D_ 06-02-14","0.7534","0.21","inc",2014-02-06,"M2","M","D","NA","NA"
"inc M2E_06-02-14","0.85735","0.213","inc",2014-02-06,"M2","M","E","NA","NA"
"inc F1A_06-02-14","1.2385","0.258","inc",2014-02-06,"F1","F","A","NA","NA"
"inc  F1B_06-02-14","1.399969","0.214","inc",2014-02-06,"F1","F","B","NA","NA"
"inc F1C_06-02-14","1.3771","0.227","inc",2014-02-06,"F1","F","C","NA","NA"
"inc F1D_06-02-14","2.0701","0.279","inc",2014-02-06,"F1","F","D","NA","NA"
"inc F1E_06-02-14","1.34245","0.238","inc",2014-02-06,"F1","F","E","NA","NA"
"inc SA_06-02-14","0.71875","0.207","inc",2014-02-06,"-9999","S","A","NA","NA"
"inc SB_06-02-14","1.585","0.264","inc",2014-02-06,"-9999","S","B","NA","NA"
"inc SC_06-02-14","1.3078","0.18","inc",2014-02-06,"-9999","S","C","NA","NA"
"inc S2_06-02-14","1.20385","0.184","inc",2014-02-06,"S2","S","-9999","NA","NA"
"inc SE_06-02-14","0.6841","0.164","inc",2014-02-06,"-9999","S","E","NA","NA"
"inc M1A_07-02-14","1.0306","0.431","inc",2014-02-07,"M1","M","A","NA","NA"
"inc M1B_07-02-14","1.0999","0.372","inc",2014-02-07,"M1","M","B","NA","NA"
"inc M1C_07-02-14","1.5157","0.44","inc",2014-02-07,"M1","M","C","NA","NA"
"inc M1D_07-02-14","2.278","0.511","inc",2014-02-07,"M1","M","D","NA","NA"
"inc M1E_07-02-14","1.399969","0.344","inc",2014-02-07,"M1","M","E","NA","NA"
"inc F3A_07-02-14","1.5157","0.381","inc",2014-02-07,"F3","F","A","NA","NA"
"inc F3B_07-02-14","0.7534","0.31","inc",2014-02-07,"F3","F","B","NA","NA"
"inc F3C_07-02-14","NA","0.954","inc",2014-02-07,"F3","F","C","NA","NA"
"inc F3D_07-02-14","4.6695","0.317","inc",2014-02-07,"F3","F","D","NA","NA"
"inc F3E_07-02-14","1.8328","0.285","inc",2014-02-07,"F3","F","E","NA","NA"
"ext F2A_07-02-14","-0.132","0.491","ext",2014-02-07,"F2","F","A","NA","NA"
"ext F2B_07-02-14","-0.132","0.575","ext",2014-02-07,"F2","F","B","NA","NA"
"bnk N1 07-02-14","-0.132","0.106","bnk",2014-02-07,"NA","NA","NA","NA","NA"
"bnk N2 07-02-14","-0.132","0.138","bnk",2014-02-07,"NA","NA","NA","NA","NA"
"bnk N3 307-02-14","-0.132","0.106","bnk",2014-02-07,"NA","NA","NA","NA","NA"
"extr M3E_25022014","0.013675","0.27702","ext",2014-02-25,"M3","M","E","NA","NA"
"extr M2D_02042014","1.8596","3.463","ext",2014-04-02,"M2","M","D","NA","NA"
"ext bnk 02042014","0.095","0.0485","bnk",2014-04-02,"NA","NA","NA","NA","NA"
"ext F3E_","0.086325","1.1965","ext",NA,"F3","F","E","NA","NA"
"incub F2C_25022014","0.6601","0.22556295","inc",2014-02-25,"F2","F","C","NA","NA"
"ext F2C_07-02-14","0.116056","0.351","ext",2014-02-07,"F2","F","C","NA","NA"
"ext F2D_07-02-14","-0.062925","0.5555","ext",2014-02-07,"F2","F","D","NA","NA"
"ext F2E_07-02-14","-0.132","0.389","ext",2014-02-07,"F2","F","E","NA","NA"
